Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Funding Details,Document Type,Publication Stage,Access Type,Source,EID
"Gaffney C.","24471074900;","Detecting trends in the prediction of the buried past: A review of geophysical techniques in archaeology",2008,"Archaeometry","50","2",,"313","336",,126,"10.1111/j.1475-4754.2008.00388.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-41149176574&doi=10.1111%2fj.1475-4754.2008.00388.x&partnerID=40&md5=ad9238cf0fa9775096d4c257871e3c4d","Geophysical survey techniques are a highly visible part of the scientific toolkit that is now used by archaeologists. In this paper, the history of the use of geophysical techniques in archaeology will be discussed, as will significant research themes associated with the most widely used prospecting devices. It is apparent that while the use of geophysical techniques is at an all-time high, there are many key areas where prospecting is rapidly developing. Some of the advances relate to fundamental aspects of the techniques, while others dictate how we undertake survey in the future. There is a movement away from pre-gridded survey areas towards real-time GPS for navigation. This allows greater integration, or fusion, of disparate data sources using visualization techniques derived from associated disciplines. The analysis of landscapes has become a major component of the application of new technology and there are many challenges to be tackled, including how to analyse and interpret significant archaeology within large-scale, data-rich, multi-technique investigations. The reflective nature of the review acknowledges the important role of Archaeometry in the development of archaeological geophysics. © University of Oxford, 2008.","Earth resistance; Electromagnetic; GPR; GPS; Landscape; Magnetometry; Resistivity; Visualization","archaeology; detection method; electrical resistivity; geophysical survey; GPS; ground penetrating radar; landscape; magnetometer; real time; visualization",,Review,"Final",,Scopus,2-s2.0-41149176574
"Kvamme K.L.","15019334000;","Geophysical surveys as landscape archaeology",2003,"American Antiquity","68","3",,"435","457",,125,"10.2307/3557103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645082412&doi=10.2307%2f3557103&partnerID=40&md5=1a31c10a2c874fdb4dc80eb4e9bfe8be","Recent advances in technology and practice allow geophysical surveys in archaeology to produce maps of subsurface features over large areas and in potentially great detail. It is shown through a series of case studies from two regions in North America that archaeo-geophysical surveys can produce primary information suitable for the study of site content, structure and organization, for examining spatial patterns and relationships, and for directly confronting specific questions about a site and the past. Because large buried cultural landscapes can now be revealed, it is argued that an alternative perspective on regional or landscape archaeology may be possible because space can be viewed in terms of tens of hectares as opposed to the lens of square meters typical of archaeological excavations. Moreover, by placing focus on such buried features as dwellings, storage facilities, public structures, middens, fortifications, trails, or garden spaces that are not commonly revealed through most contemporary surface inspection methods, a richer view of archaeology, the past, and cultural landscapes can be achieved. Archaeo-geophysical suneys can also play an important role in Cultural Resource Management (CRM) contexts as feature discovery tools for focusing expensive excavations, thereby reducing the amount needed and lowering costs. Their utility is weighed against shovel test pits as a primitive and costly form of prospecting. © 2003 by the Society for American Archaeoli.",,,,Article,"Final",,Scopus,2-s2.0-33645082412
"Johnson J.K.","","Remote Sensing in Archaeology",2006,"Remote Sensing in Archaeology: An Explicitly North American Perspective",,,,"","",,56,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-34548062989
"Kvamme K.L.","","Integrating multiple geophysical datasets",2007,"Remote Sensing in Archaeology",,,,"345","374",,16,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-48949119591
"Perttula T.K., Walker C.P., Clay Schultz T.","6508386711;24544904300;24544518600;","A revolution in Caddo archaeology: The remote sensing and archaeological view from the hill farm site (41BW169) in Bowie County, Texas",2008,"Southeastern Archaeology","27","1",,"93","107",,13,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-49349096942&partnerID=40&md5=84ec3dc57de5f1f45d4d94904b847fae","The use of remote sensing technologies on prehistoric and early historic Caddo sites is allowing for new and unprecedented views of the spatial structure and internal organization of Caddo villages and mound centers. Recent remote sensing work at the Hill Farm site (41BW169) on the Red River in northeast Texas, along with available archaeological information from the shallowly buried site, has led to an unusually detailed view of the archaeological character of ca. A.D. 1600-1700 Nasoni Caddo village compounds that can be linked with the 1691 Teran map. Remote sensing has considerable potential to lead to long-term collaborative archaeogeophysical and archaeological projects to understand Caddo community-scale organization and landscapes.",,"archaeological evidence; archaeology; documentary source; mapping; remote sensing; North America; Red River [United States]; United States",,Article,"Final",,Scopus,2-s2.0-49349096942
"Mckinnon D.P.","35768195300;","Exploring settlement patterning at a premier Caddo mound site in the Red River Great Bend region",2009,"Southeastern Archaeology","28","2",,"248","258",,11,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77649309555&partnerID=40&md5=71c03708b2dec40a107de81f906e38b3","Archaeogeophysical methods are increasingly being utilized as a non-invasive, preservation-oriented, and economically feasible way to pursue the large-scale exploration of settlement patterning at mound sites throughout the Caddo archaeological area. Using these methods, a large-scale magnetic gradiometry survey at the Battle Mound site (3LA1), a premier Middle and Late Caddo mound site located in the Red River Great Bend region, produced an informative archaeogeophysical data set of numerous anomalies that can be attributed to both archaeological and geological sources. Findings include convincing evidence for burned rectangular and circular structures, a possible community cemetery, a farmstead with a compound fence, the extent of an historic occupation, and natural phenomena that include lighting strikes and palaeochannels of the Red River. The magnetic gradiometry survey not only has demonstrated the usefulness of archaeogeophysics as a primary data set in archaeological interpretation but also has provided a unique data set regarding the cultural and natural history at the Battle Mound site.",,"archaeology; cultural history; Holocene; settlement pattern; Red River [United States]; United States",,Article,"Final",,Scopus,2-s2.0-77649309555
"Walker C.P.","","Landscape archaeogeophysics: a study of magnetometer surveys from Etowah (9BW1), the George C. Davis site (41CE19), and the Hill Farm Site (41BW169)",2009,"Landscape Archaeogeophysics: A Study of Magnetometer Surveys from Etowah (9BR1), the George C. Davis Site (41CE19), and the Hill Farm Site (41BW169)",,,,"","",,8,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-84879315682
"Lockhart J.J.","",[No title available],2007,"Prehistoric Caddo of Arkansas: A Multiscalar Examination of Past Cultural Landscapes",,,,"","",,8,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-49349093706
"McKinnon D.P.","",[No title available],2008,"An Archaeogeophysical Analysis of Central Caddo Settlement Patterning at Battle Mound (3LA1)",,,,"","",,7,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-69549142061
"Kvamme K.L.","","Remote sensing approaches to archaeological reasoning: Pattern recognition and physical principles",2008,"Archaeological Concepts for the Study of the Cultural Past",,,,"65","84",,7,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-79951927986
"Lockhart J.J., Green T.J.","","The current and potential role of archaeogeophysics in cultural resource management in the United States",2006,"Remote Sensing in Archaeology: An Explicitly North American Perspective",,,,"17","32",,7,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-49349105838
"Osburn T., Bruseth J., Pierson W.","","Magnetometer Investigations at the George C. Davis Site, a Prehistoric Caddo Village",2008,"Bulletin of the Texas Archeological Society","79",,,"191","200",,6,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649295102
"Walker C.P., Perttula T.K.","","Geophysical investigations on Caddo sites in East Texas and surrounding states",2008,"Bulletin of the Texas Archeological Society","79",,,"159","176",,6,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649324051
"Creel D., Hudler D., Wilson S., Schultz C., Walker C.","","A magnetometer survey of Caddoan mounds state historic site",2005,"Technical Report","51",,,"","",,6,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-49349105310
"Samuelsen J.R.","","Archaeogeophysical Investigations of Early Settlement Patterns at the Crenshaw Site (3MI6)",2009,"Archeogeophysical Investigations of Early Caddo Settlement Patterning at the Crenshaw Site (3MI6)",,,,"","",,5,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-79951923167
"Creel D., Hudler D., Wilson S., Walker C., Schultz T.C.","","Geophysical survey of the Mound B area at the George C. Davis site",2008,"Bulletin of the Texas Archeological Society","79",,,"177","190",,5,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-79951908738
"Walker C.P., Perttula T.K.","","Remote Sensing at the Horace Cabe Site (41BW14)",2007,"Caddo Archaeology Journal","16",,,"37","44",,5,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-49349101555
"Cheetham Paul N.","","Noninvasive subsurface mapping techniques, satellite and aerial imagery in landscape archaeology",2008,"Handbook of Landscape Archaeology",,,,"562","582",,4,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-79951896811
"Bruseth J.E., Pierson B.","","Magnetometer Survey at the George C. Davis Site (41CE19)",2004,"Current Archeology in Texas","6","1",,"7","9",,4,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-49349112759
"Bruseth J., Durst J., Proctor R., Banks L., Sykes G., Pierson B.","","Investigations at the Gene and Ruth Ann stallings ranch Site (41LR297)",2009,"Bulletin of the Texas Archeological Society","80",,,"195","205",,2,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-79951890909
"Bruseth J.E., Pierson W.T., Johnson R.M.","26033950500;26322712700;26322591300;","Large-area remote sensing coverage of archaeological sites with a dual-track, cart-mounted cesium magnetometer",2008,"Journal of Field Archaeology","32","2",,"133","148",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-61949099314&partnerID=40&md5=4e6732e2e896173fb434ca45772fed96","This paper describes the benefits of collecting total field magnetic data at archaeological sites with a mobile cart holding two cesium magnetometer sensors and a separate stationary base station magnetometer to correct for global-scale magnetic fluctuations. To date, the Texas Historical Commission has surveyed 40 sites from various time periods and geographical settings in Texas. The cart has allowed rapid surveys over large areas while minimizing signal-degrading noise. Four examples from Texas show that large-area and high-density magnetic surveys can be completed in relatively short periods of time producing maps that aid significantly in archaeological site interpretation. In some instances, no field excavation was required to understand quickly what the magnetic patterns represented in terms of buried archaeological features. In all cases, the magnetometer maps provided important information to help guide future field excavations.",,,,Review,"Final",,Scopus,2-s2.0-61949099314
"Perttula T.K., Walker C.P.","",[No title available],2008,"The History of Archaeological Investigations and Geophysical Survey at the Jamestoivn Mound Site (41SM54), An Archaeological Conservancy Preserve in Smith County, Texas",,,,"","",,2,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-79951928406
"Grealy M., Conyers L.B.","","EM31 Geophysical survey methods, results, and recommendations",2008,"Integrated Cultural Resources Investigations for the Bowie County Levee Realignment Project, Bowie County, Texas and Little River County, Arkansas",,,,"91","107",,2,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-79951919940
"Walker C.P., Schultz T.C.","","Magnetometer survey and results",2008,"Integrated Cultural Resources Investigations for the Bowie County Levee Realignment Project, Bowie County, Texas and Little River County, Arkansas",,,,"167","183",,2,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-79951888386
"Kelley D.B.","",[No title available],2006,"The Burnitt Site: A Late Caddoan Occupation in the Uplands of the Sabine River Basin in Louisiana",,,,"","",,2,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-79951934961
[No author name available],[No author id available],"Archaeogeophysical survey of sites 41TT6, 41TT846, 41TT847, 41TT851, 41TT852, 41TT853, 41TT854, 41TT858, 41TT862, 41TT865, and 41TT866 on the U.S. Highway 271 Mount Pleasant Relief Route, Titus County, Texas",2009,"AGA Report",,,,"2008","2019",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-85036719625
[No author name available],[No author id available],"Geophysical surveying at the Tallow Grove (41NA231), Foggy Fork (41NA235), and Beech Ridge (41NA242) sites",2008,"Lake Naconiche Archeology, Nacogdoches County, Texas: Results of the Data Recovery Excavations at Pive Prehistoric Archeological Sites",,"60",,"289","306",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-85036697143
