Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Funding Details,Document Type,Publication Stage,Access Type,Source,EID
"Costin C.L.","","Craft specialization: Issues in defining, documenting, and explaining the organization of production",1991,"Archaeological Method and Theory","3",,,"1","56",,534,,,[No abstract available],,,,,,,Scopus,2-s2.0-0001786936
"Whitney E.N., Rolfes S.R.","",[No title available],1996,"Understanding Nutrition",,,,"","",,527,,,[No abstract available],,,,,,,Scopus,2-s2.0-0004107778
"Meneton P., Jeunemaitre X., De Wardener H.E., Macgregor G.A.","6701755618;7005820228;7006303508;7102241803;","Links between dietary salt intake, renal salt handling, blood pressure, and cardiovascular diseases",2005,"Physiological Reviews","85","2",,"679","715",,459,"10.1152/physrev.00056.2003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-15544364940&doi=10.1152%2fphysrev.00056.2003&partnerID=40&md5=1374d74a2e00dcac99b2d8240fceb0bb","Epidemiological, migration, intervention, and genetic studies in humans and animals provide very strong evidence of a sausal link between high salt intake and high blood pressure. The mechanisms by which dietary salt increases arterial pressure are not fully understood, but they seem related to the inability of the kidneys to excrete large amounts of salt. From an evolutionary viewpoint, the human species is adapted to ingest and excrete <1 g of salt per day, at least 10 times less than the average values currently observed in industrialized and urbanized countries. Independent of the rise in blood pressure, dietary salt also increases cardiac left ventricular mass, arterial thickness and stiffness, the incidence of strokes, and the severity of cardiac failure. Thus chronic exposure to a high-salt diet appears to be a major factor involved in the frequent occurrence of hypertension and cardiovascular diseases in human populations. Copyright © 2005 the American Physiological Society.",,"adducin; aldosterone; cytochrome P450; dopamine; protein serine threonine kinase; sodium channel; sodium chloride; sodium potassium chloride cotransporter; sodium proton exchange protein 3; stannous chloride; blood pressure; cardiovascular disease; heart left ventricle mass; human; hypertension; incidence; kidney function; peptide synthesis; priority journal; public health; renin angiotensin aldosterone system; review; salt intake; urinary excretion; Animals; Blood Pressure; Cardiovascular Diseases; Humans; Kidney; Sodium Chloride; Sodium Chloride, Dietary",,Review,"Final",,Scopus,2-s2.0-15544364940
"Swanton J.R.","",[No title available],1946,"The Indians of the Southeastern United States",,,,"","",,290,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-0003602137
"Torrence R.","6701777308;","Production and exchange of stone tools: prehistoric obsidian in the Aegean.",1986,,,,,"","",256,181,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040852378&partnerID=40&md5=67a5589bcd8030c953002d2511285873","Through a case study of the Aegean obsidian exchange, the author develops a theory relating the process of exchange with its material consequences. Drawing extensively on ethnographic analogy, differences in the level of efficiency required for the acquisition of raw materials and the production of goods are used to infer types of exchange. Regional patterns of tool manufacture, specialist craft production at central places, and quarrying are analysed in detail in the context of the prehistoric Aegean and previous ideas about the role of trade in the development of civilisations. -J.Sheail",,,,Article,"Final",,Scopus,2-s2.0-85040852378
"Driver H.E., Massey W.C.","","Comparative studies of North American Indians",1957,"Transactions of the American Philosophical Society","47","2",,"165","456",,129,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-0001140017
"Sinopoli C.M.","",[No title available],1991,"Approaches to Archaeological Ceramics",,,,"","",,117,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-0141515359
"Swanton J.R.","","Indian Tribes of the Lower Mississippi Valley and Adjacent Coast of the Gulf of Mexico",1911,"Indian Tribes of the Lower Mississippi Valley and Adjacent Coast of the Gulf of Mexico",,,,"","",,111,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-0007361778
"McKillop H.","","Salt: White Gold of the Ancient Maya",2002,"Salt: White Gold of the Ancient Maya",,,,"","",,72,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-0347057298
"Perttula T.K.","",[No title available],1992,"The Caddo Nation: Archaeological and Ethnohistoric Perspectives",,,,"","",,61,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-0009923460
"Muller J.","57193174030;","Mississippian specialization and salt",1984,"American Antiquity","49","3",,"489","507",,60,"10.2307/280356","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0347098244&doi=10.2307%2f280356&partnerID=40&md5=be444fd9dfe608a623d7bd694f444363","Despite a tendency to treat Mississippian production as involving specialization, little effort has been made to test these proposals in actual field work. A distinction between specialization at a site and specialization of producers is made in this article and applied to materials from the Great Salt Spring, a Mississippian salt production site in southern Illinois. Testing and excavations in 1981 and 1982 show that this was a true limited activity site. Nonetheless, the data on producer organization do not strongly support the conclusion of specialist production there and are consistent with simpler models of non-specialist production. © The Society for American Archaeology 1984.",,,,Review,"Final",,Scopus,2-s2.0-0347098244
"McCance R.A.","7003857361;","MEDICAL PROBLEMS IN MINERAL METABOLISM",1936,"The Lancet","227","5876",,"823","830",,53,"10.1016/S0140-6736(01)36734-X","https://www.scopus.com/inward/record.uri?eid=2-s2.0-50249200443&doi=10.1016%2fS0140-6736%2801%2936734-X&partnerID=40&md5=646249ecedcf5e77cb69ddba48807677",[No abstract available],,,,Article,"Final",,Scopus,2-s2.0-50249200443
"Rathje W.L.","","The last tango at Mayapan: A tentative trajectory of Production-Distribution systems",1975,"Ancient Civilization and Trade",,,,"409","448",,45,,,[No abstract available],,,,,,,Scopus,2-s2.0-0002630001
"McKillop H.","","Underwater archaeology, salt production, and coastal Maya trade at Stingray Lagoon, Belize",1995,"Latin American Antiquity","6","3",,"214","228",,38,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-0343410011
"Mackinnon J.J., Kepecs S.M.","7006126383;6507128565;","Prehispanic Saltmaking in Belize: New Evidence",1989,"American Antiquity","54","3",,"522","533",,28,"10.2307/280780","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017308858&doi=10.2307%2f280780&partnerID=40&md5=fa5602c79fa6b70bf57d1f1eb17fec12","The discovery of a number of prehispanic saltmaking sites on the southern coast of Belize by the Point Placencia Archaeological Project suggests a concern with local saltmaking during the Late Classic and perhaps later periods. Previously, only one small source was thought to have produced salt in prehispanic Belize, and it was believed that most of this mineral was imported from the northern coast of Yucatan. This paper describes the sites located by our survey and offers an interpretation of the local saltmaking process. It is suggested that Placencia salt was inferior in quality to that from Yucatan, and that it might have been consumed by commoners, while elites were able to obtain pure Yucatecan salt. Copyright © Society for American Archaeology 1989.",,,,Review,"Final",,Scopus,2-s2.0-85017308858
"Brown I.W.","","Salt and the eastern North American Indian: An archaeological study",1980,"Salt and the Eastern North American Indian: An Archaeological Study",,,,"","",,26,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-60950176706
"Flad R.K.","8717013400;","Salt production and social hierarchy in ancient China",2011,"Salt Production and Social Hierarchy in Ancient China",,,,"1","285",,25,"10.1017/CBO9780511921094","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924690390&doi=10.1017%2fCBO9780511921094&partnerID=40&md5=d45f9af669e25884af73184b5f7bb27b","This book examines the organisation of specialised salt production at Zhongba, one of the most important prehistoric sites in the Three Gorges of China’s Yangzi River valley. Rowan K. Flad demonstrates that salt production emerged in the second millennium BCE and developed into a large-scale, intense activity. As the intensity of this activity increased during the early Bronze Age, production became more coordinated, perhaps by an emergent elite who appear to have supported their position of authority by means of divination and the control of ritual knowledge. This study explores evidence of these changes in ceramics, the layout of space at the site and animal remains. It synthesises the data retrieved from years of excavation, showing not only the evolution of production methods, but also the emergence of social hierarchy in the Three Gorges region over two millennia. © Rowan K. Flad 2011.",,,,Book,"Final",,Scopus,2-s2.0-84924690390
"Arnold III P.J., Santley R.S.","","Household ceramics production at Middle Classic period Matacapan",1993,"Prehispanic Domestic Units in Western Mesoamerica: Studies of the Household, Compound, and Residence",,,,"227","248",,25,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-0042859589
"Castañeda C.E.","","Our catholic heritage in texas 1519-1936",1936,"Our Catholic Heritage in Texas, 1519-1936",,,,"","",,24,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-1542735453
"Tekol Y.","6601980187;","Salt addiction: A different kind of drug addiction",2006,"Medical Hypotheses","67","5",,"1233","1234",,22,"10.1016/j.mehy.2006.04.041","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33748048178&doi=10.1016%2fj.mehy.2006.04.041&partnerID=40&md5=a906c5a613843f6658d9bb9c7658d35f","Under the headline ""drug addiction"" the medical world has exclusively been interested in psychoactive drugs. For diagnosis of substance dependence (addiction), DSM-IV-TR has determined seven criteria, and fulfilling at least tree of them signifies addiction. When studied salt intake according to these criteria it is seen that most of them are fulfilled, showing that sodium chloride, which is not classified under the psychoactive drugs, is capable of producing addiction. Namely: at the beginning of salt abstinence, anorexia and slight nausea during meal time (withdrawal symptoms); about 1000-fold difference of per capita salt consumption between several human societies, and life-long continuation of discretional salt intake behaviour (high dose and very long duration of use); difficulty of restriction of salt intake (unsuccessful efforts to cut down or control); lack of success of salt restriction campaigns in hypertensive patients (substance use despite health problem). Additionally, the decrease of salt preferences of individuals whose salt intake are restricted for some time, and vice versa, signifies tolerance. On the other hand, it is evident that as the main culprit of developing systemic hypertension and as producing or promoting some other important health problems, salt intake causes millions of deaths in the world yearly. The recognition of addicting property of salt will facilitate combating these health problems. © 2006 Elsevier Ltd. All rights reserved.",,"sodium chloride; addiction; anorexia; article; counseling; diagnostic and statistical manual of mental disorders; human; hypertension; nausea; priority journal; salt addiction; salt intake; sodium restriction; statistical significance; substance abuse; withdrawal syndrome; Asthma; Diagnostic and Statistical Manual of Mental Disorders; Disease Progression; Humans; Osteoporosis; Sodium Chloride; Substance Withdrawal Syndrome; Substance-Related Disorders",,Article,"Final",,Scopus,2-s2.0-33748048178
"Akridge D.G.","6508266533;","Methods for calculating brine evaporation rates during salt production",2008,"Journal of Archaeological Science","35","6",,"1453","1462",,21,"10.1016/j.jas.2007.10.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-42049116970&doi=10.1016%2fj.jas.2007.10.013&partnerID=40&md5=a63653ddfae3a78bbe1546fb78b78362","Salt is recognized by archaeologists as an important commodity due to the biological need for sodium and other cultural uses. Numerous studies have described the various techniques used in converting brine to crystallized salt, but few, if any, have attempted to quantify the physical processes of evaporation in pre-industrial societies. Apart from the few areas where salt mining is possible, nearly all forms of salt production require evaporation of water to concentrate brine and ultimately produce salt crystals. This study quantifies three of the most common evaporation techniques and provides insight into the production rates of salt and fuel requirements. Methods of calculation are provided for determining evaporation through (1) direct solar heating of brine, (2) applied external heat to a vessel, and (3) an immersed heated object (e.g., stone). These results provide physical constraints on the evaporation process and provide investigators with techniques for estimating efficiency and total production of prehistoric and historic saltworks. © 2007 Elsevier Ltd. All rights reserved.","Brine; Evaporation; Numerical methods; Salt; Stone boiling","brine; evaporation; numerical method; salt",,Article,"Final",,Scopus,2-s2.0-42049116970
"Lonn E.","",[No title available],1933,"Salt as a Factor in the Confederacy",,,,"","",,20,,,[No abstract available],,,,,,,Scopus,2-s2.0-0344402725
"Gregory H.F.","",[No title available],1973,"Eighteenth Century Caddoan Archaeology: A Study in Models and Interpretation",,,,"","",,19,,,[No abstract available],,,,,,,Scopus,2-s2.0-1542604787
"Swanton J.R.","","Source material on the history and ethnology of the Caddo Indians",1942,"Bureau of American Ethnology Bulletin","132",,,"","",,19,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-0039082192
"Swanton J.R.","","Aboriginal Culture of the Southeast",1928,"Bureau of American Ethnology Annual Report","42",,,"673","726",,19,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-33748342349
