Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Funding Details,Document Type,Publication Stage,Access Type,Source,EID
"Knight V.J.","7006611243;","The institutional organization of Mississippian religion",1986,"American Antiquity","51","4",,"675","687",,152,"10.2307/280859","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944765699&doi=10.2307%2f280859&partnerID=40&md5=96738f7820ac59c69d3d36855284e9e5","Symbolic objects for ceremonial display, or sacra, tend to be systematically related in their representational content to the cult institutions that produce and manipulate them. Cult organization is normally pluralistic among preliterate complex societies. Mississippian sacra suggest a triad of coexisting types of cult institution: (1) a communal cult type emphasizing earth/fertility and purification ritual, (2) a chiefly cult type serving to sanctify chiefly authority, and (3) a priestly cult type mediating between the other two, supervising mortuary ritual and ancestor veneration. © 1986 Society for American Archaeology.",,,,Review,"Final",,Scopus,2-s2.0-84944765699
"Kvamme K.L.","15019334000;","Geophysical surveys as landscape archaeology",2003,"American Antiquity","68","3",,"435","457",,125,"10.2307/3557103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645082412&doi=10.2307%2f3557103&partnerID=40&md5=1a31c10a2c874fdb4dc80eb4e9bfe8be","Recent advances in technology and practice allow geophysical surveys in archaeology to produce maps of subsurface features over large areas and in potentially great detail. It is shown through a series of case studies from two regions in North America that archaeo-geophysical surveys can produce primary information suitable for the study of site content, structure and organization, for examining spatial patterns and relationships, and for directly confronting specific questions about a site and the past. Because large buried cultural landscapes can now be revealed, it is argued that an alternative perspective on regional or landscape archaeology may be possible because space can be viewed in terms of tens of hectares as opposed to the lens of square meters typical of archaeological excavations. Moreover, by placing focus on such buried features as dwellings, storage facilities, public structures, middens, fortifications, trails, or garden spaces that are not commonly revealed through most contemporary surface inspection methods, a richer view of archaeology, the past, and cultural landscapes can be achieved. Archaeo-geophysical suneys can also play an important role in Cultural Resource Management (CRM) contexts as feature discovery tools for focusing expensive excavations, thereby reducing the amount needed and lowering costs. Their utility is weighed against shovel test pits as a primitive and costly form of prospecting. © 2003 by the Society for American Archaeoli.",,,,Article,"Final",,Scopus,2-s2.0-33645082412
"Aspinall A., Gaffney C., Schmidt A.","","Magnetometry for Archaeologists",2008,"Magnetometry for Archaeologists",,,,"","",,106,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-67249117420
"Knight V.J.","","Symbolism of Mississippian mounds",1989,"Powhatan's Mantle: Indians in the Colonial Southeast",,,,"279","291",,74,,,[No abstract available],,,,,,,Scopus,2-s2.0-0013268358
"Kidder T.R.","6701827843;","Plazas as architecture: An example from the Raffman site, Northeast Louisiana",2004,"American Antiquity","69","3",,"514","532",,54,"10.2307/4128404","https://www.scopus.com/inward/record.uri?eid=2-s2.0-24144497628&doi=10.2307%2f4128404&partnerID=40&md5=f10f36e2361b0ae3d0fe64e9fb91aaf9","Research at the Raffman site (16MA20), a multi-mound center in the Lower Mississippi Valley of northeast Louisiana, demonstrates that the plaza was purposefully built and extended on its northern end. Construction entailed significant earth-moving and labor effort in addition to the erection of mounds flanking the plaza. At Raffman plaza, building is dated ca. A.D. 700-1000. Like the mounds at the site, the arrangement, shape, and dimensions of the plaza changed through time. The final plan of the plaza was the result of a rapid major reconfiguration of the spatial layout of the site at approximately A.D. 1000. The effort expended on planning and construction of the plaza at Raffman and similar features at contemporary and later sites in the southeastern United States indicates that plazas are not just empty spaces that developed because architecture enclosed an open area; they must be understood as one of the central design elements of community planning and intrasite spatial organization. Further research should be devoted to exploring how southeastern mound-and-plaza groups were constructed with specific efforts devoted to comprehending how plazas were laid out and built.Las investigaciones en el sitio Raffman (16MA20), un centro de múltiples montícules en el valle bajo del Mississippi de Luisiana nororiental, demuestran que la plaza se construyó y extendió con un propósito determinado en su extreme norte. La construcción supuso un significativo desplazamiento de tierra y esfuerzo laboral, además del levantamiento de los montículos al lado de la plaza. La construcción de la plaza de Raffman data de los años 700-1000 d.C.Al igual que los montículos del sitio, la disposición, la forma y las dimensiones de la plaza fueron cambiando con el paso del tiempo. El plano final de la plaza fue el resultado de una rápida e importante reconfiguración de la distribución espacial del sitio en el año 1000 d.C., aproximadamente. El esfuerzo invertido en el diseño y la construcción de la plaza de Raffman, y características similares a las de otros sitios contemporáneos y posteriores en el sudeste de los Estados Unidos indican que las plazas no fueron sólo espacios vacios que surgieron al construirse alrededor de áreas abiertas. Las plazas deben ser entendidas, en cambio, como uno de los elementos de diseńo centrales en la planificación de la comunidad y en la organización espacial dentro de los sitios (inuasite). Las investigaciones futuras deben dedicarse a explorar cómo los grupos de plazas y montículos del sudeste se construyeron con propósitos específicos, y orientados a entender cómo se trazaron y construyeron las plazas. Copyright © 2004 by the Society for American Archeaology.",,,,Article,"Final",,Scopus,2-s2.0-24144497628
"Hally D.J.","","The territorial size of Mississippian chiefdoms",1993,"Archaeology of Eastern North America: Papers in Honor of Stephen Williams",,,,"143","168",,51,,,[No abstract available],,,,,,,Scopus,2-s2.0-0003779563
"Clark A.","55451077200;","Seeing beneath the soil: Prospecting methods in archaeology",2003,"Seeing Beneath the Soil: Prospecting Methods in Archaeology",,,,"1","192",,45,"10.4324/9780203164983","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906013664&doi=10.4324%2f9780203164983&partnerID=40&md5=7056c5ba824b69b974ae7b94b6a563d6","Scientific soil prospecting methods can give dramatic pictures of buried archaeological sites, and sometimes information on what occurred within them, before any earth has ben removed. Dr Clark, who was one of the earliest to work in this field, has written the first general survey of an increasingly important area of practical archaeology. The emphasis is on the principles and practical application of the well established techniques of resistivity, magnetometry and magnetic susceptibility, with shorter sections on emerging and less common techniques such as ground-penetrating radar, electromagnetic methods and phosphate survey. This paperback edition updates and enhances the earlier book, adding new material such as the large-scale evaluation exercises now required as a precondition of planning consent for major developments. © 1990 Anthony Clark. All rights reserved.",,,,Book,"Final",,Scopus,2-s2.0-84906013664
"Dalan R.A.","","The Construction of Mississippian Cahokia",1997,"Cahokia: Domination and Ideology in the Mississippian World",,,,"89","102",,32,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-0013310420
"Thompson V.D., Arnold P.J., Pluckhahn T.J., Vanderwarker A.M.","8263582600;7202944458;6507350446;6507698148;","Situating Remote Sensing in Anthropological Archaeology",2011,"Archaeological Prospection","18","3",,"195","213",,29,"10.1002/arp.400","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80051891535&doi=10.1002%2farp.400&partnerID=40&md5=dd9fd99a7d4b98aa4071b15ad0c803cc","Productive applications of geophysics to anthropological questions in American archaeology necessarily involve specific research questions or agendas. While only some anthropological questions can be addressed by shallow geophysics, these techniques provide an opportunity to address some important questions that are fundamental to archaeology. One such agenda is the investigation of 'persistent places', which is rooted in anthropological inquiry and which can be investigated, at least in part, by shallow geophysical techniques. For the next stage in the use of remote sensing that goes beyond mere prospection, research agendas must be clearly linked with broader theoretical concepts of what we term inquiry-based archaeogeophysics. Specifically with regard to the application of geophysics to the study of persistent places, we propose four categories of research that relate to the meaning, context and changing function of such places. These categories include: construction variation, continuity and discontinuity in the use of space, studying natural and/or cultural landscape modifications over time and space, and constancies in the use of space and architecture at the regional level. In order to illustrate these points, we provide examples from sites in Mexico and the USA that represent different time periods (2500 BC to AD 1000), adaptations (hunter-gatherers to intensive agriculturists), and levels of socio-political complexity (egalitarian to stratified societies). The use of geophysics at these persistent places contributes to our understanding of changes in the use of space and architecture through time. © 2011 John Wiley & Sons, Ltd.","Landscape; Method and theory; Persistent place; Shallow geophysics; Space and architecture",,,Article,"Final",,Scopus,2-s2.0-80051891535
"King A.","37018942800;","Long-term histories of Mississippian centers: The developmental sequence of Etowah and its comparison to Moundville and Cahokia",2001,"Southeastern Archaeology","20","1",,"1","17",,26,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0002121199&partnerID=40&md5=635827478283851b13017677cb4f5336","Despite being the focus of over a century of archaeological enquiry, the occupational history of the Etowah site remains poorly understood. This synthesis of Etowah's development as a Mississippian political center is based on my examination of documents and collections from the major excavations conducted at the site. A comparison of Etowali's history to the developmental sequences of two other major Mississippian mound centers, Moundville and Cahokia, shows that Etowah developed within a region where it was difficult to establish the same long-term political dominance attained by Cahokia and Moundville. Individual Mississippian centers were parts of larger regions with distinct ecological and social histories. This comparison also indicates that Etowah's political economy was oriented along individual-centered or network principles during its rise to power ca. AD 1300, while the political economies of Moundville and Cahokia focused on group-oriented or corporate principles during their periods of political ascendance ca. AD 2050-1200. This suggests that there were temporal and regional differences in the orientation of Mississippian political economies.",,,,Review,"Final",,Scopus,2-s2.0-0002121199
