Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Funding Details,Document Type,Publication Stage,Access Type,Source,EID
"Avise J.C.","",[No title available],1994,"Molecular Markers, Natural History and Evolution",,,,"","",,3442,,,[No abstract available],,,,,,,Scopus,2-s2.0-0004058089
"Wright S.","","Isolation by distance",1943,"Genetics","28",,,"114","138",,3353,,,[No abstract available],,,,,,,Scopus,2-s2.0-0001024012
"Cavalli-Sforza L.L., Menozzi P., Piazza A.","",[No title available],1994,"The History and Geography of Human Genes",,,,"","",,3315,,,[No abstract available],,,,,,,Scopus,2-s2.0-0003675970
"Scott G.R., Turner II C.G.","",[No title available],1997,"The Anthropology of Modern Human Teeth",,,,"","",,531,,,[No abstract available],,,,,,,Scopus,2-s2.0-0003436555
"Turner II C.G., Nichol C.R., Scott G.R.","","Scoring procedures for key morphological traits of the permanent dentition: The Arizona State University dental anthropology system",1991,"Advances in Dental Anthropology",,,,"13","31",,502,,,[No abstract available],,,,,,,Scopus,2-s2.0-0001811734
"LeBlanc S.A.","",[No title available],1999,"Prehistoric Warfare in the American Southwest",,,,"","",,306,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-0003688969
"Anyon R., LeBlanc S.A.","","The Galaz Ruin: A Prehistoric Mimbres Village in Southwestern New Mexico",1984,"The Galaz Ruin: A Prehistoric Mimbres Village in Southwestern New Mexico",,,,"","",,92,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-0003928498
"Lekson S.H.","25934668600;","War in the Southwest, war in the world",2002,"American Antiquity","67","4",,"607","624",,87,"10.2307/1593794","https://www.scopus.com/inward/record.uri?eid=2-s2.0-31744443407&doi=10.2307%2f1593794&partnerID=40&md5=a6bdac57112b32be2653c6cf349b8b75","The study of warfare in the ancient Pueblos of the U.S. Southwest has become politicized and contentious, and southwestern data are only rarely used to address larger anthropological theories of war. A cross-cultural model of violence proposed by Carol and Melvin Ember (1992) suggests that war in pre-state societies is predicted by resource unpredictability and socialization for fear. The Ember and Ember model is evaluated using syntheses of southwestern warfare by Steven LeBlanc (1999), environmental variability by Jeffrey Dean (1988, 1996), and political history by Stephen Lekson (1999). The fit between the southwestern data and the model is close, and supports the Ember and Ember model. © 2002 by the Society for American Archaeology.",,,,Article,"Final",Open Access,Scopus,2-s2.0-31744443407
"Newcomb Jr. W.W.","",[No title available],1961,"The Indians of Texas: From Prehistoric to Modern Times",,,,"","",,74,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-0039082191
"Pérez Gollán J.","","Electronic document",2019,"Electronic Document",,,,"","",,68,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-45749110464
