Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Funding Details,Funding Text 1,Document Type,Publication Stage,Access Type,Source,EID
"Andreae M.O., Merlet P.","35461763400;8769458000;","Emission of trace gases and aerosols from biomass burning",2001,"Global Biogeochemical Cycles","15","4",,"955","966",,2353,"10.1029/2000GB001382","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035693625&doi=10.1029%2f2000GB001382&partnerID=40&md5=92337c444ca032baab97619eb93130ca","A large body of information on emissions from the various types of biomass burning has been accumulated over the past decade, to a large extent as a result of International Geosphere-Biosphere Programme/International Global Atmospheric Chemistry research activities. Yet this information has not been readily accessible to the atmospheric chemistry community because it was scattered over a large number of publications and reported in numerous different units and reference systems. We have critically evaluated the presently available data and integrated these into a consistent format. On the basis of this analysis we present a set of emission factors for a large variety of species emitted from biomass fires. Where data were not available, we have proposed estimates based on appropriate extrapolation techniques. We have derived global estimates of pyrogenic emissions for important species emitted by the various types of biomass burning and compared our estimates with results from inverse modeling studies.",,"aerosol; atmospheric chemistry; biomass burning; emission; trace gas",,,Article,"Final",,Scopus,2-s2.0-0035693625
"Keiluweit M., Nico P.S., Johnson M., Kleber M.","26640423300;35345606300;7407347330;57203196175;","Dynamic molecular structure of plant biomass-derived black carbon (biochar)",2010,"Environmental Science and Technology","44","4",,"1247","1253",,1240,"10.1021/es9031419","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77249117787&doi=10.1021%2fes9031419&partnerID=40&md5=eb3068172ff8346cdb7a916600b6813f","Char black carbon (BC), the solid residue of incomplete combustion, is continuously being added to soils and sediments due to natural vegetation fires, anthropogenic pollution, and new strategies for carbon sequestration (""biochar""). Here we present a molecular-level assessment of the physical organization and chemical complexity of biomass-derived chars and, specifically, that of aromatic carbon in char structures. Brunauer - Emmett - Teller (BET) - N2 surface area (SA), X-ray diffraction (XRD), synchrotron-based near-edge X-ray absorptionfinestructure (NEXAFS), andFourier transform infrared (FT-IR) spectroscopy are used to show how two plant materials (wood and grass) undergo analogous but quantitatively different physical - chemical transitions as charring temperature increases from 100 to 700 ° C. These changes suggest the existence of four distinct categories of char consisting of a unique mixture of chemical phases and physical states: (i) in transitionchars, the crystalline character of the precursor materials is preserved; (ii) in amorphous chars, the heat-altered molecules and incipient aromatic polycondensates are randomly mixed; (iii) composite chars consist of poorly ordered graphene stacks embedded in amorphous phases; and (iv) turbostratic chars are dominated by disordered graphitic crystallites. Molecular variations among the different char categories likely translate into differences in their ability to persist in the environment and function as environmental sorbents. © 2010 American Chemical Society.",,"Amorphous phasis; Anthropogenic pollution; Aromatic carbon; Biochar; Black carbon; Brunauer emmett tellers; Carbon sequestration; Char structure; Chemical complexity; Chemical transition; Environmental sorbents; Graphenes; Incomplete combustion; Molecular levels; Molecular variation; Natural vegetation; New strategy; Physical state; Plant biomass; Plant material; Polycondensates; Precursor materials; Soils and sediments; Solid residues; Surface area; Temperature increase; Turbostratic; Aromatic compounds; Biomass; Carbon black; Infrared spectroscopy; Sediments; Surface chemistry; X ray diffraction; Amorphous materials; black carbon; amorphous medium; anthropogenic source; black carbon; carbon sequestration; combustion; complexity; composite; fire; FTIR spectroscopy; graphite; physicochemical property; phytomass; surface area; absorption spectroscopy; article; biomass; chemical structure; infrared spectroscopy; X ray diffraction; Charcoal; Plants; Spectroscopy, Fourier Transform Infrared; Temperature; X-Ray Diffraction",,,Article,"Final",,Scopus,2-s2.0-77249117787
"Metz G., Wu X., Smith S.O.","7004290010;55715065600;7406653872;","Ramped-Amplitude Cross Polarization in Magic-Angle-Spinning NMR",1994,"Journal of Magnetic Resonance - Series A","110","2",,"219","227",,930,"10.1006/jmra.1994.1208","https://www.scopus.com/inward/record.uri?eid=2-s2.0-43949161069&doi=10.1006%2fjmra.1994.1208&partnerID=40&md5=eda525cbe09c4eb98e80190ed281495e","The Hartmann-Hahn matching profile in CP-MAS NMR shows a strong mismatch dependence if the MAS frequency is on the order of the dipolar couplings in the sample. Under these conditions, the profile breaks down into a series of narrow matching bands separated by the spinning speed, and it becomes difficult to establish and maintain an efficient matching condition. Variable-amplitude CP (VACP), as introduced previously (Peersen et al., J. Magn. Reson. A104, 334, 1993), has been proven to be effective for restoring flat profiles at high spinning speeds. Here, a refined implementation of VACP using a ramped-amplitude cross-polarization sequence (RAMP-CP) is described. The order of the amplitude modulation is shown to be of importance for the cross-polarization process. The new pulse sequence with a linear amplitude ramp is not only easier to set up but also improves the performance of the variable-amplitude experiment in that it produces flat profiles over a wider range of matching conditions even with short total contact times. An increase in signal intensity is obtained compared to both con ventional CP and the originally proposed VACP sequence. © 1994 by Academic Press, Inc.",,,,,Article,"Final",,Scopus,2-s2.0-43949161069
"Hedges J.I., Ertel J.R.","7102918984;7003607258;","Characterization of Lignin by Gas Capillary Chromatography of Cupric Oxide Oxidation Products",1982,"Analytical Chemistry","54","2",,"174","178",,684,"10.1021/ac00239a007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020090761&doi=10.1021%2fac00239a007&partnerID=40&md5=d53c198e524f43a86b24fbfc7a6a8191","Lignin compounds are high molecular weight phenolic polymers that occur In the woody tissues of vascular plants and In soil and sedimentary organic matter. A sensitive, reproducible method Is described for the characterization of lignins In untreated plant and geochemical samples containing as little as 10 mg of organic matter. The whole sample Is treated with alkaline cupric oxide at 170 C to produce simple llgnin- derlved phenols that are extracted with ethyl ether and analyzed by gas capillary chromatography on fused silica columns. A suite of up to 11 phenols Is produced that reflects the relative concentration and plant tissue sources of lignins present In the sample. © 1982, American Chemical Society. All rights reserved.",,"LIGNIN",,,Article,"Final",,Scopus,2-s2.0-0020090761
"Harris D., Horwáth W.R., Van Kessel C.","57190549434;7004195403;55663161900;","Acid fumigation of soils to remove carbonates prior to total organic carbon or carbon-13 isotopic analysis",2001,"Soil Science Society of America Journal","65","6",,"1853","1856",,581,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035658994&partnerID=40&md5=234a201855315fe8ce4e36285fb079e1","The use of 13C natural abundance (δ13C) to follow C input to soil has gained widespread acceptance. However, inorganic C present in the soil as carbonates will interfere with the measurement of soil organic 13C unless removed or excluded from measurement. We report a simple and convenient HCl-fumigation method to remove inorganic C from soil. Soil samples are weighed in Ag-foil capsules, arranged on a microtiter plate, wetted with water to approximately field capacity, and placed in a desiccator containing a beaker with concentrated (12 M) HCl. The carbonates are released as CO2 by the acid treatment in 6 to 8 h. The soil samples are then dried at 60°C prior to isotope determination. The advantages of the HCl-fumigation method to remove inorganic C from the soil are that: (i) no water soluble C will be lost from the soil; (ii) a large number of samples can be processed simultaneously; (iii) the removal of inorganic C is rapid and complete; and (iv) the method could also be used to determine both organic and inorganic C content in the soil. A potential disadvantage, however, is that the HCl fumigation changed the 15N natural abundance of soil N.",,"Carbon; Carbonates; Fumigation; Hydrochloric acid; Isotopes; Silver; Microtiter plates; Soils; carbonate; fumigation; hydrochloric acid; isotopic analysis; organic carbon; soil carbon",,,Article,"Final",,Scopus,2-s2.0-0035658994
"Hedges J.I., Mann D.C.","7102918984;7402056874;","The characterization of plant tissues by their lignin oxidation products",1979,"Geochimica et Cosmochimica Acta","43","11",,"1803","1807",,581,"10.1016/0016-7037(79)90028-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0018666285&doi=10.1016%2f0016-7037%2879%2990028-0&partnerID=40&md5=19ae1ba765b204c0c76474aa62935d0d","The cupric oxide oxidation products of 23 vascular and nonvascular plant tissues have been measured. Compositional data for vanillyl, syringyl, and cinnamyl phenols are presented in the form of five lignin parameters which are related to plant variety, lignin concentration, and tissue type. On the basis of these parameters, the 23 plant tissue samples are resolved into distinct compositional regions corresponding to: 1. (a) nonvascular plants, 2. (b) gymnosperm woods, 3. (c) non woody gymnosperm tissues, 4. (d) angiosperm woods, and 5. (e) nonwoody angiosperm tissues. The same five parameters also can be determined for organic materials in soils and sediments and used either to discriminate between compositionally different organic mixtures or to estimate the relative amounts of each of the above types of plant materials in the deposits. © 1979.",,,"U.S. Department of Energy, USDOE: AT(4S-I )-2225-T40D","Acknowled~eme~rs-Acknowledgemiesn tm ade to the donors of the PetroleumR esearchF und, administeredb y the ACS, for partials upporto f this researchT. his research was also funded in part by DOE contract AT(4S-I )-2225-T40D. . MANN received partial support througha federallyf undedw ork studyp rograma t the Uni-versityo f WashingtonW. e thank DR ROY CARPENTERh,i s studentsa, nd researcha ssociatesfo r tiumerous contribu- tions. This is contributioni lO from the Departmento f OceanographyU, niversityo f Washington.",Article,"Final",,Scopus,2-s2.0-0018666285
"Cheng C.-H., Lehmann J., Engelhard M.H.","7404797542;7202265439;7006474519;","Natural oxidation of black carbon in soils: Changes in molecular form and surface charge along a climosequence",2008,"Geochimica et Cosmochimica Acta","72","6",,"1598","1610",,535,"10.1016/j.gca.2008.01.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-49849105800&doi=10.1016%2fj.gca.2008.01.010&partnerID=40&md5=21b1838bd6f60e017ad48a9759a34016","The aim of this work was to investigate changes in molecular form and surface charge of black carbon (BC) due to longterm natural oxidation and to examine how climatic and soil factors affect BC oxidation. Black C was collected from 11 historical charcoal blast furnace sites with a geographic distribution from Quebec, Canada, to Georgia, USA, and compared to BC that was newly produced (new BC) using rebuilt historical kilns. The results showed that the historical BC samples were substantially oxidized after 130 years in soils as compared to new BC or BC incubated for one year. The major alterations by natural oxidation of BC included: (1) changes in elemental composition with increases in oxygen (O) from 7.2% in new BC to 24.8% in historical BC and decreases in C from 90.8% to 70.5%; (2) formation of oxygen-containing functional groups, particularly carboxylic and phenolic functional groups, and (3) disappearance of surface positive charge and evolution of surface negative charge after 12 months of incubation. Although time of exposure significantly increased natural oxidation of BC, a significant positive relationship between mean annual temperature (MAT) and BC oxidation (O/C ratio with r = 0.83; P &lt; 0.01) explained that BC oxidation was increased by 87 mmole kg C-1 per unit Celsius increase in MAT. This long-term oxidation was more pronounced on BC surfaces than for entire particles, and responded 7-fold stronger to increases in MAT. Our results also indicated that oxidation of BC was more important than adsorption of non-BC. Thus, natural oxidation of BC may play an important role in the effects of BC on soil biogeochemistry. © 2008 Elsevier Ltd.",,,"Cornell University

Geological Society of America, GSA","We thank the Forges du Saint-Maurice National Historic Site (QC), Katahdin Iron Wroks (ME), Town of Port Henry (NY), The Friends of Beckley Furnace (CT), Greenwood Furnace State Park (PA), Hopewell Furnace National Historical Site, Oxford Furnace (NJ), The Ohio Historical Society (OH), Nassawango Iron Furnace (MD), Montgomery Bell State Park (TN), Iron Station (NC), Cooper’s Iron Works (GA) for permission us to take the soil and BC samples. We also thank Pierre Drouin, Daniel Toutant, Dr. Tom Desjardin, Joan Daby, Walter Rushby, Walt Landgraf, Paul Fagley, Kathy Fisher, Dan Reese, Steven Ambrose, Feil Norman, Cary Lyle, Carey Tichenor, Dr. John White, Dr. Alan May, Vicki Gentry, and Chang-Ya Chen for their help in the field work. The XPS measurements were performed in the Environmental Molecular Sciences Laboratory, a national scientific user facility, located at Pacific Northwest National Laboratory, WA. We also thank Dr. Keith Eggleston at Cornell University for providing the climate data and Dr. Shree Gami for technical support. We are very grateful for financial supports by the Ministry of Education in Taiwan, the Henry Wu Scholarship, the Kieckhefer Adirondack Fellowship, the Biogeochemistry and Environmental Biocomplexity small grant, and the Upper Susquehanna Agricultural Ecology Program mini-grant of Cornell University, and the Graduate Student Research Grants of the Geological Society of America to C.H.C.",Article,"Final",,Scopus,2-s2.0-49849105800
"Masiello C.A.","6602744697;","New directions in black carbon organic geochemistry",2004,"Marine Chemistry","92","1-4 SPEC. ISS.",,"201","213",,481,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-9644270975&partnerID=40&md5=0c744adae7fb9b823cedcf517e99510c","In the past 30 years, the field of black carbon (BC) research has expanded broadly, stretching from its traditional core in the atmospheric sciences into oceanography, soil science, and even anthropology. Results produced in this period of expansion have been exciting: BC has been detected in many important geochemical pools, and interesting new research directions open as we learn about the role of this byproduct of biomass burning in the carbon cycle. Especially important research directions will be the quantification of BC loss processes (both biotic and abiotic), measurement of BC decomposition products in environmentally relevant reservoirs, and exploration of the interactions between BC and its host organo-mineral matrix, including the role of BC in pedogenesis. However, along with exciting results, we have also seen apparent discrepancies between BC studies. These discrepancies occur at least in part because of a lack of a common language, common methods, and a common model of BC. This paper lays out the framework many BC researchers use to understand the role of BC in the carbon cycle, discussing the 'combustion continuum' BC model and the methodological continuum that this model implies. © 2004 Elsevier B.V. All rights reserved.","Black carbon; Carbon cycle; Charcoal; Combustion continuum; Soot","black carbon; carbon cycle; charcoal; geochemistry; soot",,"I would particularly like to acknowledge the guidance of John Hedges while I was a graduate student. His enthusiasm for working with students set a high standard. Conversations with Michael Schmidt, Angela Dickens, Claudia Czimczik, Oliver Chadwick, Ellen Druffel, Jennifer Harden, Sue Trumbore, Bill Reeburgh, Yves Gélinas, Jeff Baldock, Jan Skjemstad, Evelyn Krull, and Sid Mitra improved my understanding of the role of BC in the carbon cycle. I also gratefully acknowledge funding from the Kearney Foundation and the Anne Les AAUW Fellowship.",Conference Paper,"Final",,Scopus,2-s2.0-9644270975
"Hedges J.I., Eglinton G., Hatcher P.G., Kirchman D.L., Arnosti C., Derenne S., Evershed R.P., Kögel-Knabner I., De Leeuw J.W., Littke R., Michaelis W., Rullkötter J.","7102918984;24560382000;7101737617;7005223427;6603777893;7004564966;7005538923;7004944025;54790529900;7006768460;57195580948;7005889306;","The molecularly-uncharacterized component of nonliving organic matter in natural environments",2000,"Organic Geochemistry","31","10",,"945","958",,463,"10.1016/S0146-6380(00)00096-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034305148&doi=10.1016%2fS0146-6380%2800%2900096-6&partnerID=40&md5=3ff0baff57d0676bc2b2f2f7eb7f391c","Molecularly-uncharacterized organic matter comprises most reduced carbon in soils, sediments and natural waters. The origins, reactions and fates of these ubiquitous materials are relatively obscure, in large part because the rich vein of geochemical information that typically derives from detailed structural and stereochemical analysis is yet to be tapped. This discussion highlights current knowledge about the origins and characteristics of molecularly uncharacterized organic matter in the environment and outlines possible means by which this structurally uncharted frontier might best be explored. (C) 2000 Elsevier Science Ltd.Molecularly-uncharacterized organic matter comprises most reduced carbon in soils, sediments and natural waters. The origins, reactions and fates of these ubiquitous materials are relatively obscure, in large part because the rich vein of geochemical information that typically derives from detailed structural and stereochemical analysis is yet to be tapped. This discussion highlights current knowledge about the origins and characteristics of molecularly uncharacterized organic matter in the environment and outlines possible means by which this structurally uncharted frontier might best be explored.","Biodegradation; Biogeochemistry; Black carbon; DOM; Encapsulation; Humification; NMR; Pyrolysis; Selective preservation","Biochemistry; Biodegradation; Carbon; Encapsulation; Molecular structure; Nuclear magnetic resonance spectroscopy; Organic compounds; Pyrolysis; Biogeochemistry; Nonliving organic matter; Geochemistry; geochemistry; organic matter",,,Article,"Final",,Scopus,2-s2.0-0034305148
"Baldock J.A., Oades J.M., Nelson P.N., Skene T.M., Golchir A., Clarke P.","7003626351;7005962676;55085284800;6603189471;6504664507;7401878066;","Assessing the extent of decomposition of natural organic materials using solid-state 13C NMR spectroscopy",1997,"Australian Journal of Soil Research","35","5",,"1061","1083",,443,"10.1071/S97004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030826389&doi=10.1071%2fS97004&partnerID=40&md5=345ce6c1fc5c742b04a8d05baffc579b","Solid-state 13C nuclear magnetic resonance (NMR) spectroscopy has become an important tool for examining the chemical structure of natural organic materials and the chemical changes associated with decomposition. In this paper, solid-state 13C NMR data pertaining to changes in the chemical composition of a diverse range of natural organic materials, including wood, peat, composts, forest litter layers, and organic materials in surface layers of mineral soils, were reviewed with the objective of deriving an index of the extent of decomposition of such organic materials based on changes in chemical composition. Chemical changes associated with the decomposition of wood varied considerably and were dependent on a strong interaction between the species of wood examined and the species composition of the microbial decomposer community, making the derivation of a single general index applicable to wood decomposition unlikely. For the remaining forms of natural organic residues, decomposition was almost always associated with an increased content of alkyl C and a decreased content of O-alkyl C. The concomitant increase and decrease in alkyl and O-alkyl C contents respectively, suggested that the ratio of alkyl to O-alkyl carbon (A/O-A ratio) may provide a sensitive index of the extent of decomposition. Contrary to the traditional view that humic substances with an aromatic core accumulate as decomposition proceeds, changes in the aromatic region were variable and suggested a relationship with the activity of lignin-degrading fungi. The A/O-A ratio did appear to provide a sensitive index of extent of decomposition provided that its use was restricted to situations where the organic materials were derived from a common starting material. In addition, the potential for adsorption of highly decomposable materials on mineral soil surfaces and the impacts which such an adsorption may have on bioavailability required consideration when the A/O-A ratio was used to assess the extent of decomposition of organic materials found in mineral soils.","Chemical composition; Composts; Forest litter; Peat; Soil organic matter; Wood","carbon-13; decomposition rate; NMR; organic matter; Fungi",,,Article,"Final",,Scopus,2-s2.0-0030826389
