Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Funding Details,Document Type,Publication Stage,Access Type,Source,EID
"Wilson D.R.","",[No title available],2000,"Air Photo Interpretation for Archaeologists",,,,"","",,130,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-0004969211
"Kvamme K.L.","","Magnetometry: Nature's gift to archaeology",2006,"Remote Sensing in Archaeology: An Explicitly North American Perspective",,,,"205","233",,74,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-49349111397
"Moore C.B.","","Some aboriginal sites on red river",1912,"Journal of the Academy of Natural Sciences of Philadelphia","14","4",,"481","644",,26,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-1542599226
"Guccione M.J.","7003635319;","Impact of the alluvial style on the geoarcheology of stream valleys",2008,"Geomorphology","101","1-2",,"378","401",,22,"10.1016/j.geomorph.2008.06.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-51749109569&doi=10.1016%2fj.geomorph.2008.06.003&partnerID=40&md5=469b36a39e93377a6d7f4316f8eab36c","The extensive archeological record within river valleys provides an environment long favored for study by the archeologic community. This record of human occupation varies with the alluvial style of the river, resulting in each river valley having a unique archeological record controlled by three factors; location of occupation sites, preservation of those sites, and recognition of the sites. If problems of site preservation and recognition in a river valley can be recognized and addressed, a better insight into settlement patterns and complex human-environment interactions can result. This study represents a synthesis of extensive published and secondary data sets pertaining to archaeology and alluvial geomorphology of the lower Missouri, Red, and Mississippi Rivers, to examine the relationship of prehistoric site distribution with fluvial geomorphology. The archeologic data are from published literature and government agencies. The geomorphic data are from a variety of published and unpublished investigations, including maps of alluvial geomorphology, digital elevation models, aerial photographs, and topographic maps. The data were input into spreadsheets and a GIS for qualitative and quantitative analysis. Prehistoric human occupation of the narrow Missouri valley floor is limited, with only 0.061 recorded sites/km2. Additional sites are likely buried by thick vertical accretion sediment on the limited prehistoric portions of the floodplain and within alluvial/colluvial fans along the valley margin. Non-random preservation patterns, such as the absence of sites from the youngest cultural period, are attributed to shifts in settlement patterns. In comparison to the lower Missouri River valley, prehistoric occupation of the lower Red and Mississippi rivers was much more extensive and the density of occupation was 0.274 sites/km2 and 0.277 sites/km2 respectively. Significant differences do exist in the age of sites and their relationship to different floodplain depositional environments. Many sites along the active meander belt of the Red River were likely lost due to high rates of channel migration. Nevertheless, intense occupation of Paleo-Indian through Caddoan groups assures that many significant sites have been preserved. The wide valley and high rates of sedimentation suggest that many sites are likely buried, particularly along natural levees flanking an older meander belt. Recorded sites are also present along streams that incise the terrace, along the terrace margin, and along small channels that cross the backswamp. The spatial and temporal site distribution along the lower Mississippi valley is distinct in comparison with the Red River because the Mississippi valley is wider, the terraces are younger and less dissected, and the floodplain has more relief and is not broadly inundated by floodwater with relatively low sediment concentrations. Most of the significant Archaic through Mississippian period floodplain sites are located along the surfaces of abandoned Mississippi and distributary meander belts which aggraded above the adjacent backswamp and have rarely been influenced by flood sedimentation since abandonment. Abundant Paleo-Indian through Mississippian period sites are also widely distributed across undissected terraces. Only a few significant Mississippian sites are present along the active meander belt and in the backswamp where flooding was common. In comparison with the Red River, the archaeological record of the floodplain is less likely to be influenced by burial or erosion due to the Mississippi River having lower rates of overbank sedimentation and channel migration, respectively. The variable alluvial styles of the lower Missouri River, lower Red River, and the lower Mississippi River valleys presented varying opportunities and constraints to occupation and sustained settlement, and resulted in widely varying archaeological patterns that are partly dependent upon the alluvial geomorphology. © 2008 Elsevier B.V. All rights reserved.","Arkansas; Geoarchaeology; Mississippi River; Missouri; Missouri River; Red River; Texas","aerial photography; alluvial fan; archaeology; depositional environment; digital elevation model; floodplain; geological record; geomorphology; GIS; human settlement; meander; nature-society relations; prehistoric; topographic mapping; Arkansas River; Mississippi River; Missouri River; North America; Red River [United States]; United States",,Article,"Final",,Scopus,2-s2.0-51749109569
"Kay M., Sabo III G.","14043758800;15052255900;","Mortuary ritual and winter solstice imagery of the harlan-style charnel house",2006,"Southeastern Archaeology","25","1",,"29","47",,20,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750598922&partnerID=40&md5=0199f451db96db27175c1e08b4f45c99","A fundamental metaphor of Southeastern Indian belief was expressed by the structural relationship death:winter. Archaeological data and documentary accounts illuminate this relationship and demonstrate a widespread cognitive lore about the marking of the seasons by use of the sun and possibly other celestial bodies. The apparent timing of pre-contact mortuary ceremonialism with the winter solstice sunset consistent with Caddoan winter death imagery reflects a local manifestation of the North American Orpheus myth.",,"archaeology; cultural history; cultural tradition; documentary source",,Article,"Final",,Scopus,2-s2.0-33750598922
"Bartington G., Chapman C.E.","6508109577;57200241204;","A high-stability fluxgate magnetic gradiometer for shallow geophysical survey applications",2004,"Archaeological Prospection","11","1",,"19","34",,19,"10.1002/arp.219","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548716268&doi=10.1002%2farp.219&partnerID=40&md5=55648b64e6ff659413532d94a7a9cda7","The detection of induced and remanent magnetization of subsurface features provides a rapid survey technique. Rejection of the unwanted geomagnetic field and its diurnal variations is accomplished by adopting a gradient magnetometer arrangement in which only the difference signal from two magnetometers, separated by a short distance, is recorded. Nuclear resonance scalar magnetometers offer high sensitivity but have higher power requirements and therefore suffer a weight penalty relative to fluxgate types. Fluxgate magnetometers are vector sensing and their sensitivity is limited, mainly by thermally induced mechanical and electronic drift. This paper describes the development of a 1-m separation, vertical component, fluxgate magnetometer that alleviates these problems. Single and multiple array gradiometer configurations are presented, together with a description of data logging software developed to enhance survey efficiency. Survey data acquired during trials and testing are presented. The ergonomics of portable instrument surveying is also discussed. © 2004 John Wiley & Sons, Ltd.","Fluxgate; Gradiometer; Magnetometer",,,Article,"Final",,Scopus,2-s2.0-34548716268
"Swanton J.R.","","Source material on the history and ethnology of the Caddo Indians",1942,"Bureau of American Ethnology Bulletin","132",,,"","",,19,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-0039082192
"Webb C.H.","","The Belcher Mound, A Stratified Caddoan Site in Caddo Parish, Louisiana",1959,"The Belcher Mound: A Stratified Caddoan Site in Caddo Parish, Louisiana",,,,"","",,16,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-1542709777
"Perttula T.K.","6508386711;","Extended entranceway structures in the Caddo archaeological area",2009,"Southeastern Archaeology","28","1",,"27","40",,15,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-69549126885&partnerID=40&md5=79b3b8c2b582ea8a89eafaef52e660ed","The construction and use of extended entranceway structures from the western Ozark Highlands to east Texas illustrates the existence of a shared tradition of specialized buildings among Caddo peoples. Even within this one shared architectural tradition there are three geographically distinct patterns in the shape of the specialized buildings and the orientation of their extended entranceways. These geographic differences may reflect the existence of diverse Caddo beliefs on mortuary rituals and cosmological symbolism as well as site-specific decisions on the place of specialized buildings within living communities.",,"archaeology; building; cultural tradition; symbolism; North America; Ozark Mountains; Texas; United States",,Article,"Final",,Scopus,2-s2.0-69549126885
"Schambach F.F.","","The archeology of the Great Bend Region in Arkansas",1982,"Contributions to the Archeology of the Great Bend Region",,,,"1","11",,13,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-2842510806
