Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Funding Details,Document Type,Publication Stage,Access Type,Source,EID
"Steponaitis V.P., Blackman M.J., Neff H.","56070631700;35769044500;7005907495;","Large-scale patterns in the chemical composition of Mississippian pottery",1996,"American Antiquity","61","3",,"555","572",,54,"10.2307/281840","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001523977&doi=10.2307%2f281840&partnerID=40&md5=b517af8df13e66b434565e82f17bdc98","Neutron activation analysis of Mississippian sherds from 21 regions across the Southeast has revealed the existence of distinctive chemical groups that are associated with four large geographical areas. One such group is associated with sites along the Mississippi River and its western tributaries, a second is associated with sites on the Appalachian Rim in Tennessee, a third is associated with sites on the Piedmont and associated drainages, and a fourth is associated with sites in Alabama. This pattern reflects the existence of several large, clay-mineral provinces in the Southeast that now can be recognized as sources in future studies of long-distance exchange. Copyright © by the Society for American Archaeology.",,,,Article,"Final",,Scopus,2-s2.0-0001523977
"Cogswell J.W., Neff H., Glascock M.D.","7006669817;7005907495;7003999714;","Analysis of shell-tempered pottery replicates: Implications for provenance studies",1998,"American Antiquity","63","1",,"63","72",,40,"10.2307/2694776","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001929902&doi=10.2307%2f2694776&partnerID=40&md5=f5c40b02a4b6c3c67eeaa106af5d6c96","Archaeometric methods such as provenance studies must be predicated on understanding the processes that underlie the production of this information. This study focuses on element-based provenance studies of Mississippian-period pottery, which are complicated by the fact that this pottery generally was tempered with crushed shell in different amounts and of unknown species composition. Experiments conducted at the Missouri University Research Reactor (MURR) have documented elemental dilution and enhancement effects of adding shell temper to clay. Mathematical corrections previously have been employed to correct for shell-temper effects. Results of physical, chemical, and mathematical approaches to eliminating the effects of shell tempering indicate that mathematical methods, based on a firm knowledge of shell composition, provide the most efficient correction. Copyright © by the Society for American Archaeology.",,,,Article,"Final",,Scopus,2-s2.0-0001929902
"Peacock E., Neff H., Rafferty J., Meaker T.","14043886900;7005907495;23570088200;57205430177;","Using laser ablation-inductively coupled plasma-mass spectrometry (LA-ICP-MS) to source shell in shell-tempered pottery: A pilot study from North Mississippi",2007,"Southeastern Archaeology","26","2",,"319","329",,17,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-39549084540&partnerID=40&md5=9fccaeb3348c7b667453cbbc0013a931","Ceramic provenance studies usually rely on characterizing the elemental composition of clays. Complicating factors include dealing with temper and amassing background data from potential source areas. Because freshwater mussels incorporate elements into their shells in proportion to the chemical makeup of waterways, hypothetically the drainage of origin could be determined for shell-tempered pottery by chemically analyzing the temper particles. A chemical analysis of whole-shell samples is presented which indicates that separation by drainage is possible. Laser Ablation-Inductively Coupled Plasma-Mass Spectrometry (LA-ICP-MS) provides a rapid, precise, and essentially nondestructive way to analyze shell-temper particles without having to remove them from the sherd. A pilot study employing LA-ICP-MS on shell-tempered ceramics from Lyon's Bluff (22OK520), a late prehistoric/Protohistoric period site in northeast Mississippi, suggests that while some stylistically exotic artifacts appear to be imports, others appear to have been made locally. These results, although preliminary in terms of sourcing ceramics from the site, are useful in introducing the method and for discussing procedural considerations arising from the study.",,"archaeological evidence; artifact; ceramics; chemical composition; inductively coupled plasma method; prehistoric; provenance; Mississippi; North America; United States",,Article,"Final",,Scopus,2-s2.0-39549084540
"Perttula T.K., Trubitt M.B., Girard J.S.","6508386711;15052432500;7403150684;","The use of shell-tempered pottery in the caddo area of the southeastern united states",2011,"Southeastern Archaeology","30","2",,"242","267",,6,"10.1179/sea.2011.30.2.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857571592&doi=10.1179%2fsea.2011.30.2.004&partnerID=40&md5=e5e5a0cf9b920a43ba8f64c1fd67fa48","Freshwater mussel shell was used as a temper in the manufacture of ceramic vessels by potters in the Caddo area of the southeastern United States after ca. A.D. 1300. This was at least one or two centuries after it became the dominant temper used by aboriginal groups in much of the Eastern Woodlands but generally contemporaneous with shelltempered usage in parts of the Southern Plains. The introduction of shell temper was variable across the Caddo area, and in certain regions its use was negligible in ceramic vessel assemblages until the sixteenth and seventeenth centuries but then was rapidly adopted as the dominant temper employed in vessel manufacture, particularly for utility wares. In the traditional territory of the historic Hasinai Caddo in East Texas, shell temper did not appear in vessels until the early eighteenth century, and then only in minor amounts on presumed trade vessels.",,"ceramics; cultural tradition; eighteenth century; historical perspective; indigenous population; manufacturing; material culture; seventeenth century; shell; trade; vessel; Texas; United States",,Review,"Final",,Scopus,2-s2.0-84857571592
"Perttula T.K., Hawley M.F., Scott F.W.","6508386711;8455167100;24547960300;","Caddo trade ceramics",2001,"Southeastern Archaeology","20","2",,"154","172",,5,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-8344238359&partnerID=40&md5=6c0e0061aa8fbdba004e86dba68a2fdb","Recent archaeological investigations of five Lower Walnut focus sites (AD 1400-1720) in south-central Kansas recovered sherds from vessels manufactured by prehistoric Caddo Indians living in northeast Texas, more than 250 miles to the south. Instrumental neutron activation analysis, petrographic analysis, and stylistic analysis of these sherds indicates periodic contacts between Lower Walnut focus Wichita peoples and the McCurtain and Titus phase Caddo peoples.",,,,Article,"Final",,Scopus,2-s2.0-8344238359
"Kelley D.B.","57212805237;","The Belcher phase: Sixteenth and seventeenth-century Caddo occupation of the red river valley in Northwest Louisiana and Southwest Arkansas",2012,"The Archaeology of the Caddo",,,,"411","430",,4,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899857583&partnerID=40&md5=86f429a127571f57ba033816093dc6b4",[No abstract available],,,,Book Chapter,"Final",,Scopus,2-s2.0-84899857583
"Selden R.Z., Jr.","","Consilience: Radiocarbon, Instrumental Neutron Activation Analysis, and Litigation in the Ancestral Caddo Region (Dissertation)",2013,"Consilience: Radiocarbon, Instrumental Neutron Activation Analysis, and Litigation in the Ancestral Caddo Region",,,,"","",,2,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-84899894705
"Perttula T.K.","",[No title available],2000,"Trade Caddo Vessels in Plains Village Sites in South Central Kansas, Cowley County, Kansas",,,,"","",,2,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-8344272595
"Perttula T.K., Selden R.Z.","","Bibliography on Woodland and caddo instrumental neutron activation analysis and Petrographic analysis studies in east Texas, northwest Louisiana, Eastern Oklahoma, and southwest Arkansas",2013,"Caddo Archeol. J.","23",,,"93","104",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-85030416908
"Ferguson J.R., Glascock M.D.","",[No title available],2013,"Neutron activation analysis of caddo ceramics from five sites in Oklahoma",,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-84899873868
