Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Funding Details,Document Type,Publication Stage,Access Type,Source,EID
"Wilson D.R.","",[No title available],2000,"Air Photo Interpretation for Archaeologists",,,,"","",,130,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-0004969211
"Kvamme K.L.","","Magnetometry: Nature's gift to archaeology",2006,"Remote Sensing in Archaeology: An Explicitly North American Perspective",,,,"205","233",,74,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-49349111397
"Perttula T.K.","",[No title available],1992,"The Caddo Nation: Archaeological and Ethnohistoric Perspectives",,,,"","",,61,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-0009923460
"Moore C.B.","","Some aboriginal sites on red river",1912,"Journal of the Academy of Natural Sciences of Philadelphia","14","4",,"481","644",,26,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-1542599226
"Guccione M.J.","7003635319;","Impact of the alluvial style on the geoarcheology of stream valleys",2008,"Geomorphology","101","1-2",,"378","401",,22,"10.1016/j.geomorph.2008.06.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-51749109569&doi=10.1016%2fj.geomorph.2008.06.003&partnerID=40&md5=469b36a39e93377a6d7f4316f8eab36c","The extensive archeological record within river valleys provides an environment long favored for study by the archeologic community. This record of human occupation varies with the alluvial style of the river, resulting in each river valley having a unique archeological record controlled by three factors; location of occupation sites, preservation of those sites, and recognition of the sites. If problems of site preservation and recognition in a river valley can be recognized and addressed, a better insight into settlement patterns and complex human-environment interactions can result. This study represents a synthesis of extensive published and secondary data sets pertaining to archaeology and alluvial geomorphology of the lower Missouri, Red, and Mississippi Rivers, to examine the relationship of prehistoric site distribution with fluvial geomorphology. The archeologic data are from published literature and government agencies. The geomorphic data are from a variety of published and unpublished investigations, including maps of alluvial geomorphology, digital elevation models, aerial photographs, and topographic maps. The data were input into spreadsheets and a GIS for qualitative and quantitative analysis. Prehistoric human occupation of the narrow Missouri valley floor is limited, with only 0.061 recorded sites/km2. Additional sites are likely buried by thick vertical accretion sediment on the limited prehistoric portions of the floodplain and within alluvial/colluvial fans along the valley margin. Non-random preservation patterns, such as the absence of sites from the youngest cultural period, are attributed to shifts in settlement patterns. In comparison to the lower Missouri River valley, prehistoric occupation of the lower Red and Mississippi rivers was much more extensive and the density of occupation was 0.274 sites/km2 and 0.277 sites/km2 respectively. Significant differences do exist in the age of sites and their relationship to different floodplain depositional environments. Many sites along the active meander belt of the Red River were likely lost due to high rates of channel migration. Nevertheless, intense occupation of Paleo-Indian through Caddoan groups assures that many significant sites have been preserved. The wide valley and high rates of sedimentation suggest that many sites are likely buried, particularly along natural levees flanking an older meander belt. Recorded sites are also present along streams that incise the terrace, along the terrace margin, and along small channels that cross the backswamp. The spatial and temporal site distribution along the lower Mississippi valley is distinct in comparison with the Red River because the Mississippi valley is wider, the terraces are younger and less dissected, and the floodplain has more relief and is not broadly inundated by floodwater with relatively low sediment concentrations. Most of the significant Archaic through Mississippian period floodplain sites are located along the surfaces of abandoned Mississippi and distributary meander belts which aggraded above the adjacent backswamp and have rarely been influenced by flood sedimentation since abandonment. Abundant Paleo-Indian through Mississippian period sites are also widely distributed across undissected terraces. Only a few significant Mississippian sites are present along the active meander belt and in the backswamp where flooding was common. In comparison with the Red River, the archaeological record of the floodplain is less likely to be influenced by burial or erosion due to the Mississippi River having lower rates of overbank sedimentation and channel migration, respectively. The variable alluvial styles of the lower Missouri River, lower Red River, and the lower Mississippi River valleys presented varying opportunities and constraints to occupation and sustained settlement, and resulted in widely varying archaeological patterns that are partly dependent upon the alluvial geomorphology. © 2008 Elsevier B.V. All rights reserved.","Arkansas; Geoarchaeology; Mississippi River; Missouri; Missouri River; Red River; Texas","aerial photography; alluvial fan; archaeology; depositional environment; digital elevation model; floodplain; geological record; geomorphology; GIS; human settlement; meander; nature-society relations; prehistoric; topographic mapping; Arkansas River; Mississippi River; Missouri River; North America; Red River [United States]; United States",,Article,"Final",,Scopus,2-s2.0-51749109569
"Brown J.A.","",[No title available],1984,"Prehistoric Southern Ozark Marginality: A Myth Exposed",,,,"","",,17,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-33747925883
"Harrington M.R.","","Certain Caddo sites in Arkansas",1920,"Certain Caddo Sites in Arkansas",,,,"","",,16,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-31344443035
"Perttula T.K.","6508386711;","1938-1939 WPA excavations at the Hatchel site (41BW3) on the Red River in Bowie county, Texas",2005,"Southeastern Archaeology","24","2",,"180","198",,13,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-31344443567&partnerID=40&md5=85a59fffcc3a5125aa0dc9ec61fb7b5c","The 1938-39 excavations in the village areas at the Hatchel site (41BW3) along the Red River in northeastern Texas have not been previously published or the findings made widely available to the archaeological community. This work exposed large blocks in Late Caddoan period, Texarkana phase (ca. A.D. 1400-1700) archaeological deposits in the Nasoni Caddo village. There were hundreds of post holes, structures, midden deposits, and burials in these village areas that appear to be part of individual Caddo farm compounds.",,"archaeological evidence; farming system; Bowie County; North America; Texas; United States",,Article,"Final",,Scopus,2-s2.0-31344443567
"Schambach F.F.","","The archeology of the Great Bend Region in Arkansas",1982,"Contributions to the Archeology of the Great Bend Region",,,,"1","11",,13,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-2842510806
"Perttula T.K., Rogers R.","6508386711;7403531026;","The evolution of a Caddo community in northeastern Texas: The Oak Hill Village site (41RK214), rusk county, texas",2007,"American Antiquity","72","1",,"71","94",,11,"10.2307/40035299","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33847720945&doi=10.2307%2f40035299&partnerID=40&md5=82b5a66fc567ae43621257a8ff9d45f4","The Oak Hill Village (41RK214) in northeastern Texas is a prehistoric (ca. A.D. 1150-1450) Caddo settlement that was completely excavated in the mid-1990s prior to lignite mining activities. Analysis of the architectural remains, key calibrated radiocarbon dates, and changes in ceramic decorations, indicates that the village evolved as three temporally and spatially different communities composed of a number of separate households. Emerging in the latter two communities were important social institutions (a plaza, an earthen mound, and specialized structures with extended entranceways) that bound this singular Caddo community together for approximately 150-200 years (ca. A.D. 1250-1450). Copyright © 2007 by the Society for American Archaeology.",,,,Article,"Final",,Scopus,2-s2.0-33847720945
