Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Funding Details,Document Type,Publication Stage,Access Type,Source,EID
"Kvamme K.L.","15019334000;","Geophysical surveys as landscape archaeology",2003,"American Antiquity","68","3",,"435","457",,125,"10.2307/3557103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645082412&doi=10.2307%2f3557103&partnerID=40&md5=1a31c10a2c874fdb4dc80eb4e9bfe8be","Recent advances in technology and practice allow geophysical surveys in archaeology to produce maps of subsurface features over large areas and in potentially great detail. It is shown through a series of case studies from two regions in North America that archaeo-geophysical surveys can produce primary information suitable for the study of site content, structure and organization, for examining spatial patterns and relationships, and for directly confronting specific questions about a site and the past. Because large buried cultural landscapes can now be revealed, it is argued that an alternative perspective on regional or landscape archaeology may be possible because space can be viewed in terms of tens of hectares as opposed to the lens of square meters typical of archaeological excavations. Moreover, by placing focus on such buried features as dwellings, storage facilities, public structures, middens, fortifications, trails, or garden spaces that are not commonly revealed through most contemporary surface inspection methods, a richer view of archaeology, the past, and cultural landscapes can be achieved. Archaeo-geophysical suneys can also play an important role in Cultural Resource Management (CRM) contexts as feature discovery tools for focusing expensive excavations, thereby reducing the amount needed and lowering costs. Their utility is weighed against shovel test pits as a primitive and costly form of prospecting. © 2003 by the Society for American Archaeoli.",,,,Article,"Final",,Scopus,2-s2.0-33645082412
"Kvamme K.L.","","Magnetometry: Nature's gift to archaeology",2006,"Remote Sensing in Archaeology: An Explicitly North American Perspective",,,,"205","233",,74,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-49349111397
"Perttula T.K.","",[No title available],1992,"The Caddo Nation: Archaeological and Ethnohistoric Perspectives",,,,"","",,61,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-0009923460
"Dalan R.A.","","Magnetic susceptibility",2006,"Remote Sensing in Archaeology: An Explicitly North American Perspective",,,,"161","203",,28,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-34548088986
"Perttula T.K.","6508386711;","1938-1939 WPA excavations at the Hatchel site (41BW3) on the Red River in Bowie county, Texas",2005,"Southeastern Archaeology","24","2",,"180","198",,13,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-31344443567&partnerID=40&md5=85a59fffcc3a5125aa0dc9ec61fb7b5c","The 1938-39 excavations in the village areas at the Hatchel site (41BW3) along the Red River in northeastern Texas have not been previously published or the findings made widely available to the archaeological community. This work exposed large blocks in Late Caddoan period, Texarkana phase (ca. A.D. 1400-1700) archaeological deposits in the Nasoni Caddo village. There were hundreds of post holes, structures, midden deposits, and burials in these village areas that appear to be part of individual Caddo farm compounds.",,"archaeological evidence; farming system; Bowie County; North America; Texas; United States",,Article,"Final",,Scopus,2-s2.0-31344443567
"Schambach F.F., Miller J.E.","","A Description and Analysis of the Ceramics",1984,"Cedar Grove: An Interdisciplinary Investigation of a Late Caddo Farmstead in the Red River Valley","23",,,"109","170",,11,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-1542604795
"Lockhart J.J.","",[No title available],2007,"Prehistoric Caddo of Arkansas: A Multiscalar Examination of Past Cultural Landscapes",,,,"","",,8,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-49349093706
"Williams, Ishmael Jr. G.","","Features and Dating",1993,"Research Series","43",,,"37","48",,8,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-31344475294
"Lockhart J.J., Green T.J.","","The current and potential role of archaeogeophysics in cultural resource management in the United States",2006,"Remote Sensing in Archaeology: An Explicitly North American Perspective",,,,"17","32",,7,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-49349105838
"Creel D., Hudler D., Wilson S., Schultz C., Walker C.","","A magnetometer survey of Caddoan mounds state historic site",2005,"Technical Report","51",,,"","",,6,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-49349105310
