Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Funding Details,Document Type,Publication Stage,Access Type,Source,EID
"Turner V.","",[No title available],1969,"The Ritual Process: Structure and Anti-Structure",,,,"","",,5534,,,[No abstract available],,,,,,,Scopus,2-s2.0-0004302281
"Douglas M.","",[No title available],1966,"Purity and Danger",,,,"","",,2194,,,[No abstract available],,,,,,,Scopus,2-s2.0-0004086998
"Levi-Strauss C.","",[No title available],1963,"Structural Anthropology",,,,"","",,1708,,,[No abstract available],,,,,,,Scopus,2-s2.0-0004168998
"Hudson C.","",[No title available],1976,"The Southeastern Indians",,,,"","",,489,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-0004184990
"Hall R.L.","","An Archaeology of the Soul: North American Indian Belief and Ritual",1997,"An Archaeology of the Soul: North American Indian Belief and Ritual",,,,"","",,214,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-0141934545
"Phillips P., Brown J.A.","",[No title available],1978,"Pre-Columbian Shell Engravings from the Craig Mound at Spiro, Oklahoma",,,,"","",,123,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-0013109925
"Brown J.","","On mortuary analysis - With special reference to the Saxe-Binford research program",1995,"Regional Approaches to Mortuary Analysis",,,,"3","26",,82,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-0002527668
"WARING A.J., JR., HOLDER P.","57190463939;57190465115;","A PREHISTORIC CEREMONIAL COMPLEX IN THE SOUTHEASTERN UNITED STATES",1945,"American Anthropologist","47","1",,"1","34",,77,"10.1525/aa.1945.47.1.02a00020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925595107&doi=10.1525%2faa.1945.47.1.02a00020&partnerID=40&md5=110f5310a19e612f5e378e283e65be55",[No abstract available],,,,Article,"Final",,Scopus,2-s2.0-84925595107
"Brown J.A.","","The dimensions of status in the burials at Spiro",1971,"Approaches to the Social Dimensions of Mortuary Practices",,"25",,"92","112",,72,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-0039432578
"Emerson T.E.","","Water, serpents, and the underworld: An exploration into Cahokia symbolism",1989,"The Southeastern Ceremonial Complex: Artifacts and Analysis",,,,"45","92",,67,,,[No abstract available],,,,,,,Scopus,2-s2.0-0009839186
