Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Funding Details,Funding Text 1,Document Type,Publication Stage,Access Type,Source,EID
"Faegri K., Iversen J.","",[No title available],1975,"Textbook of Pollen Analysis",,,,"","",,4903,,,[No abstract available],,,,,,,,Scopus,2-s2.0-0004196124
"Grimm E.C.","7103247713;","CONISS: a FORTRAN 77 program for stratigraphically constrained cluster analysis by the method of incremental sum of squares",1987,"Computers and Geosciences","13","1",,"13","35",,1877,"10.1016/0098-3004(87)90022-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023163609&doi=10.1016%2f0098-3004%2887%2990022-7&partnerID=40&md5=14ae8f697372eb9dbe3fd010c2eec594","Stratigraphically constrained cluster analysis is a multivariate method for quantitative definition of stratigraphic zones. As opposed to ordinary, unconstrained cluster analysis, only stratigraphically adjacent clusters are considered for merging. The method of incremental sum of squares has been used widely for unconstrained analyses and has proved particularly satisfactory for pollen frequency data. CONISS is a FORTRAN 77 program for stratigraphically constrained cluster analysis by this method. Several data transformations lead to different implicit dissimilarity coefficients. As an option, the program also will perform an unconstrained analysis, which can be useful for comparison with the constrained analysis. © 1987.","Biostratigraphy; Cluster analysis; Stratigraphic zones; Stratigraphically constrained cluster analysis","COMPUTER PROGRAMMING - Algorithms; COMPUTER PROGRAMMING LANGUAGES - FORTRAN; COMPUTER PROGRAMS; COMPUTER SIMULATION - Mathematical Models; BIOSTRATIGRAPHY; CONISS PROGRAMS; INCREMENTAL SUM OF SQUARES; STRATIGRAPHIC ZONES; STRATIGRAPHICALLY CONSTRAINED CLUSTER ANALYSIS; GEOLOGY","University of Minnesota, UM

National Science Foundation, NSF: BSR-8311473","Acknowledgments--I express my appreciation to E. J. Cushing and H. E. Wright, Jr.. who critically read the manuscript. I received financial support from NSF grant BSR-8311473 and a grant from the University of Minnesota Computer",Article,"Final",,Scopus,2-s2.0-0023163609
"Troels-Smith J.","","Characterization of unconsolidated sediments",1955,"Danmarks Geologiske Undersøgelse","3","10",,"1","73",,644,,,[No abstract available],,,,,,,,Scopus,2-s2.0-0001955738
"Delcourt P.A., Delcourt H.R.","",[No title available],2004,"Prehistoric Native Americans and Ecological Change: Human Ecosystems in Eastern North America since the Pleistocene",,,,"","",,149,,,[No abstract available],,,,,,"Final",,Scopus,2-s2.0-28644451562
"Brush G.S., Brush L.M.","","Transport of pollen in a sediment-laden channel: A laboratory study",1972,"American Journal of Science","272",,,"359","381",,61,,,[No abstract available],,,,,,"Final",,Scopus,2-s2.0-0007253988
"Diggs G.M., Lipscomb B.L., O'Kennon R.J.","",[No title available],1999,"Illustrated Flora of North Central Texas",,,,"","",,55,,,[No abstract available],,,,,,"Final",,Scopus,2-s2.0-0012210308
"Delcourt P.A., Delcourt H.R., Webb III T.","7003710099;6701825009;35550805300;","Atlas of mapped distributions of dominance and modern pollen percentages for important tree taxa of eastern North America.",1984,,,,,"","",131,51,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058674727&partnerID=40&md5=02b56b394669734043ae94456b5419fe","Summarizes the contemporary distributions of major tree taxa and their corresponding pollen percentages across eastern North America. Contoured isopoll maps of arboreal pollen percentages (%AP) are based upon 1684 surface samples distributed across the region from 25o to 60oN latitude and from 50o to 105oW longitude. Includes paired maps for the following dominant, subdominant and common tree taxa: Abies, Acer, Betula, Carya, Celtis, Cupressaceae plus Taxodiaceae, Fagus grandifolia, Fraxinus, Ilex, Juglans, Larix laricina, Liquidambar styraciflua, Liriodendron tulipifera, Magnolia, Nyssa, Picea, Pinus, Platanus occidentalis, Populus, Quercus, Salix, Tilia, Tsuga, and Ulmus. Supplemental maps for growing stock volume are included for Chamaecyparis thyoides, Juniperus, Taxodium distichum, Thuja occidentalis, Diploxylon Pinus, Haploxylon Pinus, hard maples and soft maples. Scatter plots of growing stock volume (%GSV) versus %AP illustrate the relationships of dominance in the vegetation to pollen production and dispersal for 20 important tree taxa. Geometric-mean linear regression of positive data pairs of %GSV and %AP yields slope and intercept parameters that are used to quantify modern pollen-vegetation relationships. These major vegetation and pollen data sets and calibrations provide the foundation for the use of modern analog and taxon calibration approaches for quantification of Late Quaternary vegetational history in eastern North America.-from Authors",,"Abies; Acer; Betula; Carya; Celtis; Chamaecyparis thyoides; Cupressaceae; Fagus grandifolia; Fraxinus; Ilex; Juglans; Juniperus; Larix laricina; Liquidambar styraciflua; Liriodendron tulipifera; Magnolia; Nyssa; Picea; Pinus; Platanus occidentalis; Populus; Quercus; Salix; Taxodiaceae; Taxodium distichum; Thuja occidentalis; Tilia; Tsuga; Ulmus",,,Article,"Final",,Scopus,2-s2.0-85058674727
"Brown A.G., Carpenter R.G., Walling D.E.","35551036400;36803756900;7103220530;","Monitoring fluvial pollen transport, its relationship to catchment vegetation and implications for palaeoenvironmental studies",2007,"Review of Palaeobotany and Palynology","147","1-4",,"60","76",,50,"10.1016/j.revpalbo.2007.06.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-35349015149&doi=10.1016%2fj.revpalbo.2007.06.005&partnerID=40&md5=35e883ccfb41ac7511d9908551fb78fd","Despite being the most important source of pollen and spore input into most lakes and near-shore marine sediments, we know very little about fluvial (waterborne) pollen and spore transport. This paper presents the results of a dedicated monitoring programme conducted over 2 years and at a catchment scale in South West England. The land use of the nine sub-catchments monitored was determined using Landsat Thematic Data. At two stations, pollen and spore sampling through storm hydrographs was undertaken whilst at the other 7 sub-catchments only peak flow samples were collected. Samples were also collected from re-suspended bed material, riverbanks and at low flows. Airborne pollen flux was monitored using modified Tauber traps. The results support previous research illustrating how the vast majority of fluvial pollen and spores are transported during floods (in this case 91%) and that the main control on waterborne pollen and spore assemblages is the catchment vegetation. However, strong seasonal effects are shown as well as the importance of distinctive sources, such as the riparian input, bed re-suspension and overland flow into drains and tributaries. Fine sediment in river pools appears to act as a selective store of damaged cereal-type pollen grains in arable catchments and this can reduce the inherent underestimate of arable land from pollen diagrams with a high fluvial input and increase the visibility of early agriculture. In order to simulate the likely result of a flood-dominated influx to a small lake scenario, modelling was undertaken whereby different sub-catchments were substituted in order to represent changes in catchment vegetation under a constant hydrological regime. The results show the dampened response of land use groups to catchment land use change, and the frequent occurrence of anomalous single-level peaks due to seasonal flushes from specific near-stream vegetation types. Both these features are commonly seen in lake pollen diagrams. Fluvial pollen and spore loading is dependant upon discharge and so concentrations in laminated or varved sediments could be regarded as a proxy for flood magnitude. The implications for this study on the interpretation of lake and near-shore marine pollen and spore diagrams are discussed and it is argued that a more quantitative approach to waterborne pollen could improve the estimation of land use from lakes in the temperate zone. © 2007 Elsevier B.V. All rights reserved.","fluvial palynomorph transport; palaeolimnology; palynology; pollen monitoring; vegetation history; waterborne pollen","catchment; environmental monitoring; hydrological regime; Landsat thematic mapper; paleoenvironment; paleolimnology; palynology; seasonal variation; sediment analysis; simulation; vegetation history; England; Eurasia; Europe; United Kingdom; Western Europe; Bacteria (microorganisms)",,,Article,"Final",,Scopus,2-s2.0-35349015149
"Holmes P.L.","7202077933;","Differential transport of spores and pollen: A laboratory study",1990,"Review of Palaeobotany and Palynology","64","1-4",,"289","296",,25,"10.1016/0034-6667(90)90144-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025627672&doi=10.1016%2f0034-6667%2890%2990144-8&partnerID=40&md5=6f1537c137872d378be8fac6c523e445","A series of experiments was designed to study some of the factors affecting spore/pollen deposition rates in rivers and lake currents. Differential transport (sorting) of different taxa has been shown to occur. From the results it is possible to estimate the flow velocity above which sorting does not occur. The nature of the bed material, over which the current passes, is also shown to have considerable effect on deposition rates. Problems encountered in the flume experiments led to a field study at Silwood Lake, England, treating the lake currents as an extended flume with its own spore/pollen supply. Results from this lake study also show the effect of differential transport. Spore/pollen size appears to be the controlling factor. © 1990.",,"differential spore and pollen transport; differential transport; laboratory study; lake; pollen; spore; UK, England, Surrey, Silwood Lake",,"Thanks are also due to Dr. Reid and Mr. Hawkins of Birkbeck College for the use of the flume. Mr. Janes and Mr. Prior helped with the collection and processing (respectively) of the Silwood Lake samples. Funding for the presentation of the paper at the 7th IPC was provided by the N.E.R.C., The Royal Society and The Annals of Botany. This work was carried out during the tenure of an N.E.R.C. studentship.",Article,"Final",,Scopus,2-s2.0-0025627672
"Butzer K.W., Abbott J.T., Frederick C.D., Lehman P.H., Cordova C.E., Oswald J.F.","6701535352;36922464100;7005586274;8255193000;7006134251;24598248500;","Soil-geomorphology and ""wet"" cycles in the Holocene record of North-Central Mexico",2008,"Geomorphology","101","1-2",,"237","277",,22,"10.1016/j.geomorph.2008.06.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-51749087121&doi=10.1016%2fj.geomorph.2008.06.005&partnerID=40&md5=60ea7a99229477caa2496c2f75e295e4","The distinction between the impact of climatic periodicities or land-use practices on soil erosion is an important issue for Pre-Hispanic and Colonial Mexico. That question can best be addressed by first documenting the dynamics of changing ""wet"" cycles during the Holocene in the central Mexican region between the northern limits of Pre-Hispanic agriculture and its southern margins in northwestern Chihuahua. Consequently the Laguna Project targeted a 125,000 km2 sector of North-Central Mexico, 250 km from north to south and 500 km from east to west, from Saltillo to Durango. Some 40 sedimentary profiles with multiple cumulic soils were studied in the field and laboratory, supported by 163 conventional 14C and AMS dates on charcoal and soil humates. We distinguish: (1) wet floodplains (with humic paleosols, redox phenomena reflecting high water tables, channel-ponding sequences, and interbedded tufas) that imply aquifer recharge, sustained base flow, and mainly low-energy conditions; and (2) high-energy pulses of discharge that mobilized cobble gravels or forced channel entrenchment (""gullying"") and were tied to episodic, excessive rains that promoted valley and slope instability. In between such ""wet"" cycles and recurrent disequilibrium events, climate was similar to today, probably less humid, with limited geomorphologic change or slow soil formation. ""Wet"" cycles were rare at the end of the Pleistocene, but prominent during the Holocene. Disequilibrium proxies became common and dramatic after 2500 BP. The drainages from the Eastern and Western Sierra Madres responded in phase, but varied in detail. Around AD 1050-1200 ""natural"" erosion led to loss of soil organic carbon, as alternating severe droughts and heavy rains destroyed the ground cover and led to ecological aridification, well before arrival of Spanish miners and settlers. The evidence that human activity triggered Pre-Hispanic or Colonial erosion in Central Mexico should therefore be re-evaluated. Global comparisons and interpretations are discussed, but with caution, since no single theory can explain the whole of the record. The soil-geomorphology geoarchive of North-Central Mexico primarily is an environmental history of alternating ""wet"" cycles, rather than of sustained wet or dry climates. The critical differences between ""soaking"" and ""excessive"" rains, with their respective impacts, may be due to switching between winter and summer storm categories. © 2008 Elsevier B.V. All rights reserved.","""Wet"" cycles; Aridification; Disequilibrium events; Floodplain soils; Holocene; Soil erosion","accelerator mass spectrometry; aridification; climate cycle; climate effect; floodplain; Holocene; human activity; land use change; organic carbon; periodicity; proxy climate record; slope stability; soil erosion; soil organic matter; Chihuahua; Coahuila; Durango; Mexico [North America]; North America; Saltillo","Texas Higher Education Coordinating Board, THECB

003658-473","Elisabeth Butzer contributed at all stages to the historical and archival background to flooding in the Nazas Basin, and she is grateful to Luis Ferniza García, Enrique Fernández, Teresa Babún, and other local informants in San Pedro de las Colonias, and Virginia Rocha Saeñz of Parral del Hidalgo. Mariah F. Wade and William E. Doolittle (both UT Austin) helped prepare the field trip for the Conference of Latin–Americanist Geographers to northern Mexico (January 2000). Taylor Houston, John Geiselbrecht, and Alexandra Myers assisted in the laboratory work. Ernest W. Lundelius, Jr. (Texas Memorial Museum), identified the fossil bones, and Barbara Winsborough (Winsborough Consulting, Austin) investigated the diatoms and offered specialist insights on the organic accumulations. Troy Kimmel (UT Austin) offered advice on the synoptic patterns. M. Palacios-Fest (University of Arizona) tested a suite of samples for ostracods. Bruce M. Albert (Corinth, TX) invested much time and expertise on the palynological study, which will be published separately upon completion. David Helgren (San José State) provided critical feedback and information, as did Tim Beach (Georgetown), Nicholas Dunning (University of Cincinnati), and Paul Hudson (University of Texas). Rosemary Sherriff (University of Kentucky) gave suggestions on the Southwestern literature. The former University of Texas Radiocarbon Laboratory, the University of Arizona Laboratory of Isotope Geochemistry, the University of Arizona AMS Facility, the National Ocean Sciences AMS Facility (Woods Hole, MA), and Stafford Research Laboratories provided the 14 C and AMS dates; we are particularly appreciative of close collaboration with Sam Valastro (Austin) and Chris Eastoe and Austin Long (Tucson). Mark Bateman (Sheffield University) made available OSL ages, details which will be published separately. The Laguna Project was supported by the Texas Higher Education Coordinating Board, Advanced Technology Program Grant 003658-473, and by the endowment of the R.C. Dickson Centennial Professorship of Liberal Arts.",Article,"Final",,Scopus,2-s2.0-51749087121
