Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Funding Details,Document Type,Publication Stage,Access Type,Source,EID
"Schiffer M.B.","",[No title available],1987,"Formation Processes of the Archaeological Record",,,,"","",,1157,,,[No abstract available],,,,,,,Scopus,2-s2.0-0003717184
"Clark A.","",[No title available],1990,"Seeing Beneath the Soil: Prospecting Methods in Archaeology",,,,"","",,280,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-0004046692
"Gaffney C., Gater J.","",[No title available],2003,"Revealing the Buried Past: Geophysics for Archaeologists",,,,"","",,225,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-7044252544
"McNeill J.D.","","Electrical conductivity of soils and rocks",1980,"Electrical Conductivity of Soils and Rocks",,,,"","",,204,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-0003761642
"Kvamme K.L.","15019334000;","Geophysical surveys as landscape archaeology",2003,"American Antiquity","68","3",,"435","457",,125,"10.2307/3557103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645082412&doi=10.2307%2f3557103&partnerID=40&md5=1a31c10a2c874fdb4dc80eb4e9bfe8be","Recent advances in technology and practice allow geophysical surveys in archaeology to produce maps of subsurface features over large areas and in potentially great detail. It is shown through a series of case studies from two regions in North America that archaeo-geophysical surveys can produce primary information suitable for the study of site content, structure and organization, for examining spatial patterns and relationships, and for directly confronting specific questions about a site and the past. Because large buried cultural landscapes can now be revealed, it is argued that an alternative perspective on regional or landscape archaeology may be possible because space can be viewed in terms of tens of hectares as opposed to the lens of square meters typical of archaeological excavations. Moreover, by placing focus on such buried features as dwellings, storage facilities, public structures, middens, fortifications, trails, or garden spaces that are not commonly revealed through most contemporary surface inspection methods, a richer view of archaeology, the past, and cultural landscapes can be achieved. Archaeo-geophysical suneys can also play an important role in Cultural Resource Management (CRM) contexts as feature discovery tools for focusing expensive excavations, thereby reducing the amount needed and lowering costs. Their utility is weighed against shovel test pits as a primitive and costly form of prospecting. © 2003 by the Society for American Archaeoli.",,,,Article,"Final",,Scopus,2-s2.0-33645082412
"Kvamme K.L.","","Magnetometry: Nature's gift to archaeology",2006,"Remote Sensing in Archaeology: An Explicitly North American Perspective",,,,"205","233",,74,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-49349111397
"Kvamme K.L.","","Current practices in archaeogeophysics: Magnetics, resistivity, conductivity, and ground-penetrating radar",2001,"Earth Sciences and Archaeology",,,,"353","384",,29,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-0005613103
"Dalan R.A.","","Magnetic susceptibility",2006,"Remote Sensing in Archaeology: An Explicitly North American Perspective",,,,"161","203",,28,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-34548088986
"Somers L.","","Resistivity survey",2006,"Remote Sensing in Archaeology: An Explicitly North American Perspective",,,,"109","130",,16,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77950205537
"Harrington M.R.","","Certain Caddo sites in Arkansas",1920,"Certain Caddo Sites in Arkansas",,,,"","",,16,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-31344443035
"Perttula T.K.","6508386711;","Extended entranceway structures in the Caddo archaeological area",2009,"Southeastern Archaeology","28","1",,"27","40",,15,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-69549126885&partnerID=40&md5=79b3b8c2b582ea8a89eafaef52e660ed","The construction and use of extended entranceway structures from the western Ozark Highlands to east Texas illustrates the existence of a shared tradition of specialized buildings among Caddo peoples. Even within this one shared architectural tradition there are three geographically distinct patterns in the shape of the specialized buildings and the orientation of their extended entranceways. These geographic differences may reflect the existence of diverse Caddo beliefs on mortuary rituals and cosmological symbolism as well as site-specific decisions on the place of specialized buildings within living communities.",,"archaeology; building; cultural tradition; symbolism; North America; Ozark Mountains; Texas; United States",,Article,"Final",,Scopus,2-s2.0-69549126885
"Sabo III G.","","The Structure of Caddo Leadership in the Colonial Era",1998,"The Native History of the Caddo: Their Place in Southeastern Archaeology and Ethnohistory",,,,"159","174",,14,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-33746146144
"Schambach F.F.","","The archeology of the Great Bend Region in Arkansas",1982,"Contributions to the Archeology of the Great Bend Region",,,,"1","11",,13,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-2842510806
"Wyckoff D.G., Baugh T.G.","","Early historic hasinai elites: A model for the material culture of governing elites",1980,"Midcontinental Journal of Archaeology","5","2",,"225","288",,13,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-33748843084
"Johnson J.K., Haley B.S.","","A cost-benefit analysis of remote sensing application in cultural resource management archaeology",2006,"Remote Sensing in Archaeology: An Explicitly North American Perspective",,,,"33","46",,10,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-34548084957
"Lockhart J.J.","",[No title available],2007,"Prehistoric Caddo of Arkansas: A Multiscalar Examination of Past Cultural Landscapes",,,,"","",,8,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-49349093706
"Miller J.","55700353800;","Changing moons: A history of Caddo religion",1996,"Plains Anthropologist","41","157",,"243","259",,8,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0007254812&partnerID=40&md5=76ff35277f87c9603ed1be665dcf0383","From their homeland around the intersection of modern Arkansas, Texas, Oklahoma, and Louisiana, Caddos had a great impact throughout the heartland of Native North America. This impact, developed over a thousand years as the westernmost Mississippians, can best be considered from a broad comparative perspective, extending over space - from the Southwest to the Plains and Southeast - and over time - from the fires of temple mounds to the fireplaces in tipis during peyote meetings of the Native American Church, spread along the Caddo diplomatic network. As with famous examples from the Northwest Coast, Caddos once had complex class rankings. The history of Caddo religion, from ancient priests to the recent prophets known as yoko, recapitulates the collapse and rebirth of the great nations of North America, except that Caddos have had the sure guidance of Moon (neesh) and his changing representations.","Caddo; Leadership; Origin myths; Religion; Temple mounds",,,Review,"Final",,Scopus,2-s2.0-0007254812
"Griffith W.J.","","The Hasinai Indians of East Texas as Seen by Europeans, 1687-1772",1954,"Philological and Documentary Studies","2","3",,"40","165",,8,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-33748357106
"Foti T.L., Simon S., Zollner D., Hattenbach M.","26030316500;56129138400;8513170900;56129238400;","Blackland prairie landscapes of southwestern Arkansas: Historical perspective, present status, and restoration potential",2003,"Blackland Prairies of the Gulf Coastal Plain: Nature, Culture, and Sustainability",,,,"94","109",,7,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899399354&partnerID=40&md5=c7488586611a828de0012643b45074ae","Southwestern Arkansas, as the term is used here, includes all or parts of seven counties recognized as a distinctive region of the state, the Southwestern Arkansas Section of the West Gulf Coastal Plain Natural Division (Foti 1974). This section is underlain by geological deposits from the Cretaceous period, in contrast to the Tertiary-period deposits that underlie the rest of the West Gulf Coastal Plain of southern Arkansas, with which it nonetheless shares many characteristics. An important difference is that the geological substrate of southwestern Arkansas sometimes includes calcareous materials such as limestone, chalk, and marl. Areas within southwestern Arkansas underlain by these deposits are here referred to as the blackland prairie region. This term does not denote one contiguous area, but rather several discrete areas shown on the General Soil Map of Arkansas as blackland prairie or Oktibbeha-Sumter soil association (USDA Soil Conservation Service 1982; Figure 7.1). Within these areas, calcareous soils supporting blackland prairies and related communities are interspersed with areas of acidic soils covered with pine-hardwood forests like those of the rest of the coastal plain. Roberts (1979) estimated the total area of the blackland prairie region of southwestern Arkansas at about 130,000 ha. Although the landscape is generally made up of rolling hills, slopes of over 50 percent gradient occur, along with at least one nearly vertical cliff (White Cliffs in Little River County). Severe erosion is common, with gullies up to 10 m deep. Level areas are characterized by black soils with high levels of organic matter that give the region its name, but soils abused by poor management practices (such as overgrazing land) and other eroded soils over chalk are olive to white in color. The presence of calcareous geologic materials has had profound effects on the vegetation, soil, and land use of the region. A distinctive landcover type, the blackland prairie, and related savanna, woodland, and forest communities occurred on these calcareous substrates. Owing to a lack of systematic inventories, descriptions, and studies, however, the nature of these communities has been poorly understood. As recently as 1974, no contemporary examples were recognized (Foti 1974). As used here, a prairie is an area dominated by characteristic herbaceous plants (typically over a hundred species). Blackland prairies are those that occur on these distinctive calcareous substrates; they differ in both dominant vegetation and characteristic species from other tallgrass prairies of the Midwest and Midsouth. On calcareous soils within the blackland prairie region of southwestern Arkansas, four prairie communities, six woodland communities, and two forest communities were defined by Hattenbach et al. (2000). The dominant grasses include little bluestem (Schizachyrium scoparium) and Indiangrass (Sorghastrum nutans), with big bluestem (Andropogon gerardii) and gamma grass (Tripsacum dactyloides) on moister areas. Compassplant (Sil- phium laciniatum) and prairie clover (Dalea purpurea) are typical forbs. These prairies usually occur on shallow soils over chalk ridges or marl (calcareous clay) slopes, often on the steep faces of asymmetrical ridges known as cuestas, which have a shallow slope and a steep slope. On the steep slopes are chalk or marl outcrops mantled with only a thin layer of soil that may be black but is more commonly olive. According to the original land-survey notes, it appears that the prairies occurred primarily on the steep slopes but extended for a distance onto the gentle slopes at the foot of the ridge. However, they were usually replaced by forest within a short distance of the toes of the slopes (Figure 7.2). Woodlands have few enough trees that herbaceous prairie vegetation dominates the ground level (typically 25-60 percent tree cover). Savannas are mostly prairie but with scattered trees. Trees of savannas and woodlands include chinkquapin oak (Quercus muhlenbergii), bois d'arc (Maclura pomifera), eastern redcedar (Juniperus virginiana), and nutmeg hickory (Carya myristicaeformis). Interestingly, field notes from both the first land survey and current research show that pecan (Carya illinoensis) makes up about 10 percent of the trees within savannas and woodlands in the blackland prairie region. In other regions it is usually associated with sandy riverfronts along large rivers, in contrast to the calcareous clays of the blackland prairies. Eroded spots are common; in some places, bedrock exposures become extensive enough to form chalk glades. Although similar to a prairie or woodland, a glade occurs on rocky substrates of chalk, limestone, and gravel with thin ground cover and bare rock visible. The thin ground cover of glades includes ground plum (Astragalus crassicarpus) and side-oats grama (Bouteloua curtipendula). In such areas with very thin soil, the original community developed as woodland dominated by Ashe's juniper (J. asheii) and Durand's oak (Quercus sinuata). A major problem in understanding the original character of southwestern Arkansas is that the area has been subjected to extensive and intensive land uses including row-crop agriculture, grazing, forestry, mining, and urbanization for almost two centuries. These changes have so modified the landscape that it is virtually impossible to find undisturbed areas; consequently, it is difficult to reconstruct the original character of the landscape without the use of historical resources such as those cited in this study. Archaeological studies can provide insight into areas of the landscape that were substantially modified well before historical descriptions were written. Moreover, as the area has been the subject of few ecological studies, there is little baseline information on the character and distribution of natural communities. Because of the dearth of ecological information from southwestern Arkansas, the Arkansas Natural Heritage Commission (ANHC) determined in 1985 to increase its efforts within this region. The work began with comprehensive surveys to locate least-disturbed areas. Data on those areas as well as from the scientific literature and historical sources were then used to develop a better understanding of the natural systems of the region, and eventually to preserve representative examples of the region's natural diversity. The purposes of this paper are to synthesize and update 15 years of inventory and study and to present an overview of the historical distribution and character, as well as the present status, potential, and plans for protection and restoration, of natural landscapes of the blackland prairie region of southwestern Arkansas. Comparisons with other blackland prairie ecosystems in the West Gulf Coastal Plain are also made. Detailed physiognomic/floristic classifications of the natural communities and descriptions of current management and restoration efforts are given elsewhere (Zollner et al., this volume). © 2003 by University of Alabama Press. All rights reserved.",,,,Book Chapter,"Final",,Scopus,2-s2.0-84899399354
