Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Funding Details,Funding Text 1,Document Type,Publication Stage,Access Type,Source,EID
"Ramsey C.B.","56333730200;","Radiocarbon calibration and analysis of stratigraphy: the OxCal program",1995,"Radiocarbon","37","2",,"425","430",,1578,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029434296&partnerID=40&md5=1ce3ef51908f79c6e9eadac46ff08016","Developes a computer program, OxCal, running under Windows 3.1 (for IBM PCs), that will perform both 14C calibration and calculate what extra information can be gained from stratigraphic evidence. The program can perform automatic wiggle matches and calculate probability distributions for samples in sequences and phases. The program is written in C++ and uses Bayesian statistics and Gibbs sampling for the calculations. The program is very easy to use, both for simple calibration and complex site analysis, and will produce graphical output from virtually any printer.",,"computer program; radiocarbon date; stratigraphy",,,Article,"Final",,Scopus,2-s2.0-0029434296
"Ramsey C.B.","56333730200;","Deposition models for chronological records",2008,"Quaternary Science Reviews","27","1-2",,"42","60",,929,"10.1016/j.quascirev.2007.01.019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-38949218339&doi=10.1016%2fj.quascirev.2007.01.019&partnerID=40&md5=2983d07e4acbf3fdb723598683601ea1","Long-term sedimentary sequences provide a wealth of useful information for research into the palaeo-environment, especially in relation to past climate change. Shorter records provide similar information in many archaeological contexts. However if such records are to be used to provide precise timing of events, and more critically the relative timing between different records, methods are needed to provide accurate and precise age-depth models for these sequences. Given the imprecision of individual calibrated radiocarbon determinations it is necessary to use the information we have about the deposition process to refine our chronologies and also to provide interpolation between dated levels in any sequence. Even with layer counted chronologies, the uncertainties are sometimes hard to quantify. This paper outlines a range of Bayesian models for deposition which have been implemented in the computer programme OxCal. These models can be used to combine information from the sediments themselves with radiocarbon or other direct dating information. Such models have the potential to integrate information between different records and provide a coherent chronology on which to base environmental or archaeological research. © 2007 Elsevier Ltd. All rights reserved.",,"Calibration; Climate change; Computer program listings; Data acquisition; Deposition; Information management; Mathematical models; Chronological records; Radiocarbon determinations; Sedimentary sequences; Sediments; archaeological evidence; Bayesian analysis; chronology; climate change; interpolation; radiocarbon dating","Natural Environment Research Council, NERC","Thanks are due to English Heritage for funding these developments in OxCal through a research grant (Historic Environment Enabling Programme Grant 3164) and the Natural Environment Research Council for institutional support through Services and Facilities. I am also very grateful to all of those who have contributed to the ideas behind this paper through discussions and previous publications; in particular I would like to thank Alex Bayliss, Maarten Blaauw, Simon Blockley, Caitlin Buck, Zhiyu Guo, Andrew Millard, Geoff Nicholls and Peter Steier all of whom have been of particular help.",Article,"Final",,Scopus,2-s2.0-38949218339
"Ramsey C.B.","56333730200;","Dealing with outliers and offsets in radiocarbon dating",2009,"Radiocarbon","51","3",,"1023","1045",,508,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-70350478718&partnerID=40&md5=f01832a2d0fd9269b9921348356e4d80","The wide availability of precise radiocarbon dates has allowed researchers in a number of disciplines to address chronological questions at a resolution which was not possible 10 or 20 years ago. The use of Bayesian statistics for the analysis of groups of dates is becoming a common way to integrate all of the 14C evidence together. However, the models most often used make a number of assumptions that may not always be appropriate. In particular, there is an assumption that all of the 14C measurements are correct in their context and that the original 14C concentration of the sample is properly represented by the calibration curve. © 2009 by the Arizona Board of Regents on behalf of the University of Arizona.",,"Bayesian analysis; calibration; carbon isotope; outlier; radiocarbon dating; resolution",,,Article,"Final",,Scopus,2-s2.0-70350478718
"Buck C.E., Cavanagh W.G., Litton C.D.","",[No title available],1996,"Bayesian Approach to Interpreting Archaeological Data",,,,"","",,367,,,[No abstract available],,,,,,,,Scopus,2-s2.0-0004027563
"Williams A.N.","24336566800;","The use of summed radiocarbon probability distributions in archaeology: a review of methods",2012,"Journal of Archaeological Science","39","3",,"578","589",,247,"10.1016/j.jas.2011.07.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-83655184689&doi=10.1016%2fj.jas.2011.07.014&partnerID=40&md5=c1a8835b5f15422bdfb98fbb928887d9","Using a database of Australian archaeological radiocarbon dates (n = 2996), this paper explores three key methodological issues associated with the use of summed probability plots of radiocarbon data: 1) the minimum sample size needed for a statistically reliable plot; 2) the effect of radiocarbon calibration on the structure of these plots; and 3) the application of a taphonomic correction to such time-series data. The results identify several protocols, recommended as best-practice when using summed probability plots: 1) a minimum sample size of 500 radiocarbon dates should be used, and the sample size and the mean of the standard deviations of the radiocarbon dates (Δ T) in the sample should both be reported; 2) a moving average trendline of 500-800 years should be used to offset the effects of the calibration process; and 3) Surovell et al. "" Correcting temporal frequency distributions for taphonomic bias"" [. Journal of Archaeological Science 36 (2009) 1715-1724] is explored, with modifications and temporal limits (<25,000 cal years BP) proposed. Correction of time-series data using theoretical taphonomic correction curves is useful as a heuristic tool but can obscure real trends if applied routinely. Comparison between summed probability plots and other occupation data is presented and shows good correlation. However it is recommended that plots are supplemented by other archaeological indices and the cross-comparison of such multiple proxies will strengthen identification of occupation trends. © 2011 Elsevier Ltd.","Calibration curve effects; Radiocarbon data; Sample size; Summed probability; Taphonomic bias","archaeology; calibration; identification method; probability; radiocarbon dating; sampling; taphonomy; time series","Fenner School of Environment and Society, Australian National University","AW is supported by the Fenner School of Environment and Society, The Australian National University and Archaeological and Heritage Management Solutions Pty Ltd. I thank Mike A. Smith for his extensive guidance on the paper and provision of unpublished data. I thank Sean Ulm for providing unpublished radiocarbon data. I thank Mick O’Neill, Peter Thomson and Louise Helby at Statistical Advisory & Training Service Pty Ltd for their statistical support. I thank Scott Mooney for his direction on the development of Z-scores. I thank Michael Slack for his clarification of Juukan-2. I thank L. Robin, P. Hiscock, W. Steffen, C.S.M Turney, P. Douglas and N. Williams for suggestions and review. I thank the unnamed reviewers for comments and suggestions.",Article,"Final",,Scopus,2-s2.0-83655184689
"Surovell T.A., Byrd Finley J., Smith G.M., Brantingham P.J., Kelly R.","6508063129;26436397600;55740919400;15519359400;57214416068;","Correcting temporal frequency distributions for taphonomic bias",2009,"Journal of Archaeological Science","36","8",,"1715","1724",,193,"10.1016/j.jas.2009.03.029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-67349137077&doi=10.1016%2fj.jas.2009.03.029&partnerID=40&md5=bd64308de38200f7cb022482fee88630","In this paper, we expand upon a prior study [Surovell, T.A., Brantingham, P.J., 2007. A note on the use of temporal frequency distributions in studies of prehistoric demography. Journal of Archaeological Science 34, 1868-1877.] that explored the problem of taphonomic bias. Taphonomic bias refers to the tendency for younger things to be over-represented relative to older things in the archaeological record due to the operation of destructive processes like erosion and weathering. Using a database of radiocarbon dated volcanic deposits from Bryson, R.U., Bryson, R.A., Ruter, A. [2006. A calibrated radiocarbon database of late Quaternary volcanic eruptions. Earth Discussions 1, 123-124.], we develop an empirical model of taphonomic bias. In contrast to our prior study in which we modeled taphonomic bias as an exponential function wherein the likelihood of site loss remains constant through time, we argue that the probability of site destruction actually decreases with site age. We further demonstrate how this model can be used to correct temporal frequency distributions and extract demographic histories. We illustrate this approach using databases of radiocarbon dates from rockshelter and open-air sites in the Bighorn Basin, Wyoming, USA, and mammoths and humans in Siberia, Russia. © 2009 Elsevier Ltd. All rights reserved.","Archaeological demography; Bighorn Basin; Caves and rockshelters; Mammuthus primigenius; Siberia; Taphonomic bias; Temporal frequency distributions; Upper Paleolithic; Woolly mammoth; Wyoming","archaeological evidence; database; erosion; fossil record; frequency-magnitude distribution; mammoth; Quaternary; taphonomy; temporal variation; weathering rate; Bighorn Basin; Eurasia; North America; Siberia; United States; Wyoming; Mammuthus primigenius","National Science Foundation, NSF: 0514863, 0710868","Thanks are owed to the Wyoming SHPO, Paul Sanders at the Office of the Wyoming State Archaeologist, and the individuals at the state, federal, and private organizations that contributed radiocarbon dates to the project (there are too many to list individually). This work was partially funded by the National Science Foundation (Grant Nos. 0514863 and 0710868).",Article,"Final",,Scopus,2-s2.0-67349137077
"Buck C.E., Litton C.D., Kenworthy J.B., Smith A.F.M.","7102927862;35576832200;16682687000;7406761795;","Combining archaeological and radiocarbon information: A Bayesian approach to calibration",1991,"Antiquity","65","249",,"808","821",,193,"10.1017/S0003598X00080534","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971921050&doi=10.1017%2fS0003598X00080534&partnerID=40&md5=361d4b83b54e717cfe7576684ade1a25","The essential question of how to convert radiocarbon determinations - those physical figures so beguilingly expressed in 'radiocarbon years before present' which are not years at all - remains open to debate. In this new contribution, an approach is outlined using Bayesian methods, rather than classical statistics. © 1991, Antiquity Publications Ltd. All rights reserved.",,,,,Article,"Final",,Scopus,2-s2.0-84971921050
"Bayliss A., Ramsey C.B., Van Der Plicht J., Whittle A.","7005185835;56333730200;22973650100;7005653979;","Bradshaw and bayes: Towards a timetable for the neolithic",2007,"Cambridge Archaeological Journal","17","SUPPL.1",,"1","28",,182,"10.1017/S0959774307000145","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33947599208&doi=10.1017%2fS0959774307000145&partnerID=40&md5=f1d46f41c71ea9eb58fac7a6babd6751","The importance of chronology is reasserted as a means to achieving history and a sense of temporality. A range of current methods for estimating the dates and durations of archaeological processes and events are considered, including visual inspection of graphs and tables of calibrated dates and the summing of the probability distributions of calibrated dates. These approaches are found wanting. The Bayesian statistical framework is introduced, and a worked example presents simulated radiocarbon dates as a demonstration of the explicit, quantified, probabilistic estimates now possible on a routine basis. Using this example, the reliability of the chronologies presented for the five long barrows considered in this series of papers is explored. It is essential that the 'informative' prior beliefs in a chronological model are correct. If they are not, the dating suggested by the model will be incorrect. In contrast, the 'uninformative' prior beliefs have to be grossly incorrect before the outputs of the model are importantly wrong. It is also vital that the radiocarbon ages included in a model are accurate, and that their errors are correctly estimated. If they are not, the dating suggested by a model may also be importantly wrong. Strenuous effort and rigorous attention to archaeological and scientific detail are inescapable if reliable chronologies are to be built. The dates presented in the following papers are based on models. 'All models are wrong, some models are useful' (Box 1979, 202). We hope readers will find them useful, and will employ 'worry selectivity' to determine whether and how each model may be importantly wrong. The questions demand the timetable, and our prehistories deserve both. © 2007 McDonald Institute for Archaeological Research.","chronology and archaeology; dating prehistory; radiocarbon dates",,,,Article,"Final",,Scopus,2-s2.0-33947599208
"Rick J.W.","57204910405;","Dates as Data: An Examination of the Peruvian Preceramic Radiocarbon Record",1987,"American Antiquity","52","1",,"55","73",,180,"10.2307/281060","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001769231&doi=10.2307%2f281060&partnerID=40&md5=5f4f222bb6c51f41deab93f9852ba8a5","Radiocarbon dates can provide an effective overview of regional trends in non-complex societies when treated in a quantitative manner. In spite of intervening biases, numbers of radiocarbon dates should reflect the patterns of occupation across time. Using the date record of preceramic Perú, I illustrate very different radiocarbon trends for highland and coastal zones. These suggest exponential growth, equilibrium, and altitude shift for the occupations of coastal, puna, and highland valley regions. Biases caused by variation in temporal and geographic investigation, and the effects of sea-level rise are considered, but I argue that general occupational patterns overshadow distortions of the date record. Copyright © Society for American Archaeology 1987.",,,,,Review,"Final",,Scopus,2-s2.0-0001769231
"Whittle A., Healy F., Bayliss A.","",[No title available],2011,"Gathering Time: Dating the Early Neolithic Enclosures of Southern Britain and Ireland",,,,"","",,171,,,[No abstract available],,,,,,"Final",,Scopus,2-s2.0-79953464509
